frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
1	0	758.75	508.5	-0.1142371	0.03635308	0.9927881	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
2	0.02	596	421.75	-0.2452895	-0.03545044	0.9688014	-6.315576E-21	0.1043169	8.533618E-10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
3	0.0719594	564	449.75	-0.3490212	-0.5283941	0.7739404	-6.315576E-21	0.1043169	8.533618E-10	0	-0.05015716	0	0.9987413	0	354.25	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
4	0.0822518	561	454.75	-0.5666552	-0.536903	0.6250097	-6.315576E-21	0.1043169	8.533618E-10	0	-0.2027873	0	0.9792228	0	336.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
5	0.092322	557	460.75	-0.5807994	-0.5210717	0.625425	-6.315576E-21	0.1043169	8.533618E-10	0	-0.2087652	0	0.9779658	0	335.9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6	0.0942212	557	460.75	-0.5850088	-0.5153459	0.6262455	-6.315576E-21	0.1043169	8.533618E-10	0	-0.2108983	0	0.9775081	0	335.65	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7	0.0968052	556	462.75	-0.5859697	-0.5138466	0.6265789	-6.315576E-21	0.1043169	8.533618E-10	0	-0.2108983	0	0.9775081	0	335.65	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8	0.1080747	556	465.75	-0.5874069	-0.5103475	0.6280912	-6.315576E-21	0.1043169	8.533618E-10	0	-0.2113248	0	0.9774159	0	335.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
9	0.1195346	556	467.75	-0.5892103	-0.5053266	0.6304573	-6.315576E-21	0.1043169	8.533618E-10	0	-0.2117512	0	0.9773236	0	335.55	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
10	0.1345153	558	470.75	-0.5888574	-0.5019649	0.6334654	-6.315576E-21	0.1043169	8.533618E-10	0	-0.2117512	0	0.9773236	0	335.55	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
11	0.1444668	563	470.75	-0.5837187	-0.49954	0.6401032	-6.315576E-21	0.1043169	8.533618E-10	0	-0.2096185	0	0.9777833	0	335.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
12	0.1593003	574	469.75	-0.57334	-0.5013561	0.648015	-6.315576E-21	0.1043169	8.533618E-10	0	-0.207058	0	0.9783287	0	336.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
13	0.1701236	585.0001	467.75	-0.5571375	-0.5052412	0.6590365	-6.315576E-21	0.1043169	8.533618E-10	0	-0.2006505	0	0.979663	0	336.85	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
14	0.1907686	618	459.75	-0.5250586	-0.5162229	0.6766294	-6.315576E-21	0.1043169	8.533618E-10	0	-0.1942343	0	0.9809552	0	337.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
15	0.2043344	642.0001	452.75	-0.4813647	-0.5303751	0.6978468	-6.315576E-21	0.1043169	8.533618E-10	0	-0.1766553	0	0.9842728	0	339.65	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
