frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
1	0	1309	192	0.4902241	-0.1865307	0.8514027	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
2	0.02	1309	192	0.4591558	-0.1432166	0.8767354	-6.315576E-21	0.1043169	8.533618E-10	0	-0.01788867	0	0.99984	0	357.95	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
3	0.0242	1309	192	0.4592035	-0.1430738	0.8767337	-6.315576E-21	0.1043169	8.533618E-10	0	-0.01788867	0	0.99984	0	357.95	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
4	0.0424	1309	192	0.4592139	-0.1430436	0.8767332	-6.315576E-21	0.1043169	8.533618E-10	0	-0.01788867	0	0.99984	0	357.95	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
5	0.0578	1309	192	0.4592595	-0.1429099	0.876731	-6.315576E-21	0.1043169	8.533618E-10	0	-0.01788867	0	0.99984	0	357.95	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6	0.0746	1309	192	0.4592992	-0.142794	0.8767292	-6.315576E-21	0.1043169	8.533618E-10	0	-0.01788867	0	0.99984	0	357.95	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7	0.0908	1309	192	0.4593439	-0.1426658	0.8767266	-6.315576E-21	0.1043169	8.533618E-10	0	-0.01788867	0	0.99984	0	357.95	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8	0.1079	1309	192	0.4593883	-0.1425393	0.876724	-6.315576E-21	0.1043169	8.533618E-10	0	-0.01788867	0	0.99984	0	357.95	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
9	0.1233	1309	192	0.4594372	-0.1424018	0.8767208	-6.315576E-21	0.1043169	8.533618E-10	0	-0.01788867	0	0.99984	0	357.95	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
10	0.1401	1309	192	0.4594818	-0.1422781	0.8767174	-6.315576E-21	0.1043169	8.533618E-10	0	-0.01788867	0	0.99984	0	357.95	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
