frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
1	0	918.75	937.5	0.01805625	0.3659237	0.9304697	-6.315576E-21	0.1043169	8.533618E-10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
2	0.02	919	937.75	0.01013975	0.3693327	0.9292419	-6.315576E-21	0.1043169	8.533618E-10	0	-0.00436331	0	0.9999905	0	359.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
3	0.0542924	919	937.75	0.01019359	0.3694904	0.9291787	-6.315576E-21	0.1043169	8.533618E-10	0	-0.00436331	0	0.9999905	0	359.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
4	0.0728884	919	937.75	0.0159719	0.3746269	0.927038	-6.315576E-21	0.1043169	8.533618E-10	0	-0.001308997	0	0.9999992	0	359.85	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
5	0.0834374	919	937.75	0.01602698	0.3747831	0.926974	-6.315576E-21	0.1043169	8.533618E-10	0	-0.001308997	0	0.9999992	0	359.85	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6	0.0869542	919	937.75	0.01605917	0.3748727	0.9269371	-6.315576E-21	0.1043169	8.533618E-10	0	-0.001308997	0	0.9999992	0	359.85	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7	0.0892621	919	937.75	0.0160703	0.3749038	0.9269245	-6.315576E-21	0.1043169	8.533618E-10	0	-0.001308997	0	0.9999992	0	359.85	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8	0.0926263	919	937.75	0.01607754	0.3749227	0.9269166	-6.315576E-21	0.1043169	8.533618E-10	0	-0.001308997	0	0.9999992	0	359.85	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
9	0.0995718	919	937.75	0.01608725	0.3749523	0.9269046	-6.315576E-21	0.1043169	8.533618E-10	0	-0.001308997	0	0.9999992	0	359.85	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
10	0.1090035	919	937.75	0.01610991	0.3750125	0.9268798	-6.315576E-21	0.1043169	8.533618E-10	0	-0.001308997	0	0.9999992	0	359.85	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
11	0.1200668	919	937.75	0.01613954	0.3750958	0.9268456	-6.315576E-21	0.1043169	8.533618E-10	0	-0.001308997	0	0.9999992	0	359.85	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
12	0.1272802	919	937.75	0.01617571	0.3751948	0.9268048	-6.315576E-21	0.1043169	8.533618E-10	0	-0.001308997	0	0.9999992	0	359.85	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
13	0.1500491	919	937.75	0.01619915	0.3752584	0.9267787	-6.315576E-21	0.1043169	8.533618E-10	0	-0.001308997	0	0.9999992	0	359.85	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
14	0.1548993	919	937.75	0.01627656	0.375467	0.9266928	-6.315576E-21	0.1043169	8.533618E-10	0	-0.001308997	0	0.9999992	0	359.85	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
15	0.1642877	919	937.75	0.01629281	0.3755108	0.9266748	-6.315576E-21	0.1043169	8.533618E-10	0	-0.001308997	0	0.9999992	0	359.85	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	0.1671217	919	937.75	0.01632557	0.3755991	0.9266384	-6.315576E-21	0.1043169	8.533618E-10	0	-0.001308997	0	0.9999992	0	359.85	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
