frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
10636	29.36256	409	-230.25	-0.376189	-0.9255639	-0.04258222	-0.1815962	0.1281816	6.560048	0	0.1942351	0	0.9809551	0	22.40008	0	0	49.94366	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
10637	29.37317	409	-230.25	-0.3766995	-0.9253372	-0.04299417	-0.1815962	0.1281816	6.560048	0	0.1942351	0	0.9809551	0	22.40008	0	0	49.94366	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
10638	29.38145	409	-230.25	-0.3767385	-0.9253196	-0.04302937	-0.1815962	0.1281816	6.560048	0	0.1942351	0	0.9809551	0	22.40008	0	0	49.94366	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
10639	29.3894	409	-230.25	-0.3767703	-0.9253055	-0.04305602	-0.1815962	0.1281816	6.560048	0	0.1942351	0	0.9809551	0	22.40008	0	0	49.94366	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
10640	29.39709	409	-230.25	-0.3768009	-0.9252918	-0.04308338	-0.1815962	0.1281816	6.560048	0	0.1942351	0	0.9809551	0	22.40008	0	0	49.94366	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
10641	29.40596	409	-230.25	-0.3768308	-0.9252784	-0.04310983	-0.1815962	0.1281816	6.560048	0	0.1942351	0	0.9809551	0	22.40008	0	0	49.94366	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
10642	29.42	409	-230.25	-0.3768641	-0.9252635	-0.04313872	-0.1815962	0.1281816	6.560048	0	0.1942351	0	0.9809551	0	22.40008	0	0	49.94366	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
10643	29.42514	409	-230.25	-0.3769189	-0.9252389	-0.04318816	-0.1815962	0.1281816	6.560048	0	0.1942351	0	0.9809551	0	22.40008	0	0	49.94366	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
10644	29.42986	409	-230.25	-0.3769394	-0.9252296	-0.0432071	-0.1815962	0.1281816	6.560048	0	0.1942351	0	0.9809551	0	22.40008	0	0	49.94366	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
10645	29.43435	409	-230.25	-0.3769576	-0.9252214	-0.04322344	-0.1815962	0.1281816	6.560048	0	0.1942351	0	0.9809551	0	22.40008	0	0	49.94366	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
10646	29.43871	409	-230.25	-0.3769743	-0.9252138	-0.04324073	-0.1815962	0.1281816	6.560048	0	0.1942351	0	0.9809551	0	22.40008	0	0	49.94366	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
10647	29.44293	409	-230.25	-0.3769926	-0.9252058	-0.04325427	-0.1815962	0.1281816	6.560048	0	0.1942351	0	0.9809551	0	22.40008	0	0	49.94366	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
10648	29.44737	409	-230.25	-0.3770094	-0.925198	-0.04327347	-0.1815962	0.1281816	6.560048	0	0.1942351	0	0.9809551	0	22.40008	0	0	49.94366	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
10649	29.45094	409	-230.25	-0.3770258	-0.9251906	-0.04328838	-0.1815962	0.1281816	6.560048	0	0.1942351	0	0.9809551	0	22.40008	0	0	49.94366	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
10650	29.45504	409	-230.25	-0.3770404	-0.9251841	-0.04330019	-0.1815962	0.1281816	6.560048	0	0.1942351	0	0.9809551	0	22.40008	0	0	49.94366	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
10651	29.45914	409	-230.25	-0.3770563	-0.925177	-0.04331392	-0.1815962	0.1281816	6.560048	0	0.1942351	0	0.9809551	0	22.40008	0	0	49.94366	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
10652	29.46399	409	-230.25	-0.3770718	-0.9251699	-0.04332903	-0.1815962	0.1281816	6.560048	0	0.1942351	0	0.9809551	0	22.40008	0	0	49.94366	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
10653	29.4684	409	-230.25	-0.3770905	-0.9251615	-0.04334785	-0.1815962	0.1281816	6.560048	0	0.1942351	0	0.9809551	0	22.40008	0	0	49.94366	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
10654	29.47306	409	-230.25	-0.3771085	-0.9251533	-0.04336587	-0.1815962	0.1281816	6.560048	0	0.1942351	0	0.9809551	0	22.40008	0	0	49.94366	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
10655	29.47711	409	-230.25	-0.3771278	-0.9251447	-0.04338129	-0.1815962	0.1281816	6.560048	0	0.1942351	0	0.9809551	0	22.40008	0	0	49.94366	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
10656	29.48129	409	-230.25	-0.3771432	-0.9251376	-0.04339899	-0.1815962	0.1281816	6.560048	0	0.1942351	0	0.9809551	0	22.40008	0	0	49.94366	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
10657	29.48595	409	-230.25	-0.3771602	-0.92513	-0.04341166	-0.1815962	0.1281816	6.560048	0	0.1942351	0	0.9809551	0	22.40008	0	0	49.94366	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
10658	29.49037	409	-230.25	-0.377178	-0.925122	-0.04342902	-0.1815962	0.1281816	6.560048	0	0.1942351	0	0.9809551	0	22.40008	0	0	49.94366	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
10659	29.49435	409	-230.25	-0.3771956	-0.9251142	-0.04344424	-0.1815962	0.1281816	6.560048	0	0.1942351	0	0.9809551	0	22.40008	0	0	49.94366	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
10660	29.49822	409	-230.25	-0.377212	-0.9251066	-0.04346061	-0.1815962	0.1281816	6.560048	0	0.1942351	0	0.9809551	0	22.40008	0	0	49.94366	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
10661	29.50258	409	-230.25	-0.3772265	-0.9251	-0.04347668	-0.1815962	0.1281816	6.560048	0	0.1942351	0	0.9809551	0	22.40008	0	0	49.94366	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
10662	29.50641	409	-230.25	-0.3772437	-0.9250922	-0.04349246	-0.1815962	0.1281816	6.560048	0	0.1942351	0	0.9809551	0	22.40008	0	0	49.94366	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
