frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
1	0	772.75	523.5	-0.1025518	0.04890732	0.9935247	-6.315576E-21	0.1043169	8.533618E-10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
2	0.02	773	523.75	-0.1023429	0.04911648	0.9935359	-6.315576E-21	0.1043169	8.533618E-10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
3	0.0642537	773	523.75	-0.2566261	-0.4095163	0.8754653	-0.01346705	0.104318	0.07716268	0	-0.08628638	0	0.9962704	0	350.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
4	0.072309	773	523.75	-0.2565251	-0.4091695	0.875657	-0.01616768	0.104318	0.09263662	0	-0.08628638	0	0.9962704	0	350.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
5	0.074569	773	523.75	-0.2565057	-0.4091042	0.8756932	-0.01694325	0.104318	0.0970804	0	-0.08628638	0	0.9962704	0	350.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6	0.0855394	773	523.75	-0.2565002	-0.4090858	0.8757035	-0.02112291	0.104318	0.1210288	0	-0.08628638	0	0.9962704	0	350.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7	0.087965	773	523.75	-0.2564726	-0.4089948	0.875754	-0.02206499	0.1043178	0.1264267	0	-0.08628638	0	0.9962704	0	350.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8	0.09676	773	523.75	-0.2564666	-0.4089756	0.8757647	-0.02571221	0.104318	0.1473243	0	-0.08628638	0	0.9962704	0	350.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
9	0.1076742	773	523.75	-0.2564448	-0.4089024	0.8758053	-0.03056288	0.104318	0.1751174	0	-0.08628638	0	0.9962704	0	350.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
10	0.1199479	773	523.75	-0.2564158	-0.4088101	0.8758569	-0.03638494	0.1043178	0.2084763	0	-0.08628638	0	0.9962704	0	350.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
11	0.1432908	773	523.75	-0.2563836	-0.4087047	0.8759155	-0.04862157	0.104318	0.278589	0	-0.08628638	0	0.9962704	0	350.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
12	0.1550168	773	523.75	-0.2563207	-0.4085009	0.876029	-0.05499428	0.1043178	0.3151029	0	-0.08628638	0	0.9962704	0	350.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
13	0.1654956	773	523.75	-0.2562881	-0.4083969	0.876087	-0.06084771	0.104318	0.3486416	0	-0.08628638	0	0.9962704	0	350.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
14	0.1755449	773	523.75	-0.2562582	-0.4083028	0.8761396	-0.06659081	0.104318	0.3815481	0	-0.08628638	0	0.9962704	0	350.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
15	0.1775938	773	523.75	-0.2562292	-0.4082122	0.8761903	-0.06776667	0.1043178	0.3882855	0	-0.08628638	0	0.9962704	0	350.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	0.1868479	773	523.75	-0.2562235	-0.4081935	0.8762007	-0.07317465	0.104318	0.4192718	0	-0.08628638	0	0.9962704	0	350.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
