frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
12262	29.33473	461	-133.2501	-0.3308549	-0.9436224	-0.01057451	0	0.1259999	4.804807	0	-0.2027873	0	0.9792228	0	336.6	0	0	-6.984705	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	3.7	0.025	55.85051	0	1	0	-4.371139E-08	0	180	0	0					
12263	29.34062	461	-133.2501	-0.3309391	-0.9435838	-0.0113496	0	0.1259999	4.804807	0	-0.2027873	0	0.9792228	0	336.6	0	0	-6.984705	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	3.7	0.025	55.85051	0	1	0	-4.371139E-08	0	180	0	0					
12264	29.3432	461	-133.2501	-0.3309417	-0.9435827	-0.01137951	0	0.1259999	4.804807	0	-0.2027873	0	0.9792228	0	336.6	0	0	-6.984705	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	3.7	0.025	55.85051	0	1	0	-4.371139E-08	0	180	0	0					
12265	29.34505	461	-133.2501	-0.3309422	-0.9435822	-0.01139259	0	0.1259999	4.804807	0	-0.2027873	0	0.9792228	0	336.6	0	0	-6.984705	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	3.7	0.025	55.85051	0	1	0	-4.371139E-08	0	180	0	0					
12266	29.34701	461	-133.2501	-0.3309418	-0.9435822	-0.01140153	0	0.1259999	4.804807	0	-0.2027873	0	0.9792228	0	336.6	0	0	-6.984705	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	3.7	0.025	55.85051	0	1	0	-4.371139E-08	0	180	0	0					
12267	29.34899	461	-133.2501	-0.330943	-0.9435818	-0.01141299	0	0.1259999	4.804807	0	-0.2027873	0	0.9792228	0	336.6	0	0	-6.984705	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	3.7	0.025	55.85051	0	1	0	-4.371139E-08	0	180	0	0					
12268	29.35078	461	-133.2501	-0.3309439	-0.9435813	-0.01142286	0	0.1259999	4.804807	0	-0.2027873	0	0.9792228	0	336.6	0	0	-6.984705	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	3.7	0.025	55.85051	0	1	0	-4.371139E-08	0	180	0	0					
12269	29.35256	461	-133.2501	-0.3309445	-0.943581	-0.01143024	0	0.1259999	4.804807	0	-0.2027873	0	0.9792228	0	336.6	0	0	-6.984705	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	3.7	0.025	55.85051	0	1	0	-4.371139E-08	0	180	0	0					
12270	29.35429	461	-133.2501	-0.3309444	-0.9435808	-0.01144192	0	0.1259999	4.804807	0	-0.2027873	0	0.9792228	0	336.6	0	0	-6.984705	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	3.7	0.025	55.85051	0	1	0	-4.371139E-08	0	180	0	0					
12271	29.35615	461	-133.2501	-0.3309455	-0.9435804	-0.01145052	0	0.1259999	4.804807	0	-0.2027873	0	0.9792228	0	336.6	0	0	-6.984705	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	3.7	0.025	55.85051	0	1	0	-4.371139E-08	0	180	0	0					
12272	29.35796	461	-133.2501	-0.3309459	-0.9435802	-0.01145853	0	0.1259999	4.804807	0	-0.2027873	0	0.9792228	0	336.6	0	0	-6.984705	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	3.7	0.025	55.85051	0	1	0	-4.371139E-08	0	180	0	0					
12273	29.35983	461	-133.2501	-0.3309463	-0.9435799	-0.01147001	0	0.1259999	4.804807	0	-0.2027873	0	0.9792228	0	336.6	0	0	-6.984705	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	3.7	0.025	55.85051	0	1	0	-4.371139E-08	0	180	0	0					
12274	29.36172	461	-133.2501	-0.330947	-0.9435796	-0.01147918	0	0.1259999	4.804807	0	-0.2027873	0	0.9792228	0	336.6	0	0	-6.984705	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	3.7	0.025	55.85051	0	1	0	-4.371139E-08	0	180	0	0					
12275	29.36383	461	-133.2501	-0.3309481	-0.943579	-0.01148937	0	0.1259999	4.804807	0	-0.2027873	0	0.9792228	0	336.6	0	0	-6.984705	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	3.7	0.025	55.85051	0	1	0	-4.371139E-08	0	180	0	0					
12276	29.36623	461	-133.2501	-0.3309478	-0.943579	-0.01150088	0	0.1259999	4.804807	0	-0.2027873	0	0.9792228	0	336.6	0	0	-6.984705	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	3.7	0.025	55.85051	0	1	0	-4.371139E-08	0	180	0	0					
