frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
13251	29.15003	794	681.7499	-0.0749027	-0.03363549	0.9966234	0	0.1281818	4.719012	0	0	0	1	0	0	0	0	-82.50082	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	6.71	0.025	-47.82053	0	0	0	1	0	0	0	0					
13252	29.15613	794	681.7499	-0.07523815	-0.03397676	0.9965866	0	0.1281818	4.743444	0	0	0	1	0	0	0	0	-82.47412	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	6.71	0.025	-47.82053	0	0	0	1	0	0	0	0					
13253	29.15845	794	681.7499	-0.07525389	-0.03399473	0.9965848	0	0.1281818	4.752696	0	0	0	1	0	0	0	0	-80.5843	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	6.71	0.025	-47.82053	0	0	0	1	0	0	0	0					
13254	29.16065	794	681.7499	-0.07525921	-0.03400235	0.9965841	0	0.1281818	4.761511	0	0	0	1	0	0	0	0	-80.49946	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	6.71	0.025	-47.82053	0	0	0	1	0	0	0	0					
13255	29.16278	794	681.7499	-0.07526477	-0.0340096	0.9965835	0	0.1281818	4.770027	0	0	0	1	0	0	0	0	-80.46733	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	6.71	0.025	-47.82053	0	0	0	1	0	0	0	0					
13256	29.16463	794	681.7499	-0.07527012	-0.03401547	0.9965829	0	0.1281818	4.777447	0	0	0	1	0	0	0	0	-80.43672	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	6.71	0.025	-47.82053	0	0	0	1	0	0	0	0					
13257	29.16648	794	681.7499	-0.0752752	-0.03402266	0.9965822	0	0.1281818	4.784826	0	0	0	1	0	0	0	0	-80.40716	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	6.71	0.025	-47.82053	0	0	0	1	0	0	0	0					
13258	29.16828	794	681.7499	-0.07528011	-0.03402793	0.9965817	0	0.1281818	4.792032	0	0	0	1	0	0	0	0	-80.38139	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	6.71	0.025	-47.82053	0	0	0	1	0	0	0	0					
13259	29.17006	794	681.7499	-0.07528502	-0.03403423	0.9965811	0	0.1281818	4.799151	0	0	0	1	0	0	0	0	-80.35577	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	6.71	0.025	-47.82053	0	0	0	1	0	0	0	0					
13260	29.17187	794	681.7499	-0.075288	-0.03404058	0.9965807	0	0.1281818	4.806378	0	0	0	1	0	0	0	0	-80.33075	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	6.71	0.025	-47.82053	0	0	0	1	0	0	0	0					
13261	29.17363	794	681.7499	-0.07529299	-0.03404485	0.9965801	0	0.1281818	4.813416	0	0	0	1	0	0	0	0	-80.30603	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	6.71	0.025	-47.82053	0	0	0	1	0	0	0	0					
13262	29.17543	794	681.7499	-0.07529739	-0.03405075	0.9965795	0	0.1281818	4.820641	0	0	0	1	0	0	0	0	-80.28094	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	6.71	0.025	-47.82053	0	0	0	1	0	0	0	0					
13263	29.17724	794	681.7499	-0.07530235	-0.03405663	0.9965791	0	0.1281818	4.827862	0	0	0	1	0	0	0	0	-80.2565	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	6.71	0.025	-47.82053	0	0	0	1	0	0	0	0					
13264	29.179	794	681.7499	-0.0753073	-0.03406194	0.9965785	0	0.1281818	4.834889	0	0	0	1	0	0	0	0	-80.23141	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	6.71	0.025	-47.82053	0	0	0	1	0	0	0	0					
13265	29.18083	794	681.7499	-0.07531175	-0.03406749	0.996578	0	0.1281818	4.842222	0	0	0	1	0	0	0	0	-80.20634	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	6.71	0.025	-47.82053	0	0	0	1	0	0	0	0					
13266	29.183	794	681.7499	-0.07531673	-0.03407418	0.9965774	0	0.1281818	4.850912	0	0	0	1	0	0	0	0	-80.18195	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	6.71	0.025	-47.82053	0	0	0	1	0	0	0	0					
13267	29.18488	794	681.7499	-0.07532223	-0.03408055	0.9965767	0	0.1281818	4.858415	0	0	0	1	0	0	0	0	-80.15649	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	6.71	0.025	-47.82053	0	0	0	1	0	0	0	0					
13268	29.18687	794	681.7499	-0.07532706	-0.03408809	0.9965761	0	0.1281818	4.866402	0	0	0	1	0	0	0	0	-80.12631	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	6.71	0.025	-47.82053	0	0	0	1	0	0	0	0					
13269	29.18877	794	681.7499	-0.07533213	-0.03409446	0.9965755	0	0.1281818	4.873996	0	0	0	1	0	0	0	0	-80.10026	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	6.71	0.025	-47.82053	0	0	0	1	0	0	0	0					
13270	29.19084	794	681.7499	-0.07533706	-0.03410111	0.9965749	0	0.1281785	4.882276	0	0	0	1	0	0	0	0	-80.07253	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	6.71	0.025	-47.82053	0	0	0	1	0	0	0	0					
13271	29.19269	794	681.7499	-0.07534255	-0.03410748	0.9965742	0	0.1281818	4.889675	0	0	0	1	0	0	0	0	-80.04616	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	6.71	0.025	-47.82053	0	0	0	1	0	0	0	0					
