frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
30543	61.22609	1205	532.75	0.2576548	-0.2673454	0.9285152	0	0.1214991	6.257885	0	0	0	1	0	0	0	0	-77.54688	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	-76.55496	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0					
30544	61.23333	1205	532.75	0.2572864	-0.2682254	0.9283636	0	0.1245046	6.28686	0	0	0	1	0	0	0	0	-77.51869	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	-76.5307	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0					
30545	61.2353	1205	532.75	0.2572754	-0.2682615	0.9283561	0	0.1250511	6.294709	0	0	0	1	0	0	0	0	-75.2396	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	-74.63349	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0					
30546	61.23718	1205	532.75	0.2572723	-0.268272	0.928354	0	0.1254584	6.302233	0	0	0	1	0	0	0	0	-75.13899	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	-74.54987	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0					
30547	61.23991	1205	532.75	0.2572687	-0.2682818	0.9283522	0	0.1258474	6.313147	0	0	0	1	0	0	0	0	-75.11174	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	-74.52722	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0					
30548	61.24194	1205	532.75	0.257264	-0.2682961	0.9283494	0	0.1259823	6.321296	0	0	0	1	0	0	0	0	-75.08562	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	-74.50552	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0					
30549	61.24397	1205	532.75	0.2572605	-0.2683056	0.9283476	0	0.126	6.329418	0	0	0	1	0	0	0	0	-75.04772	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	-74.47407	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0					
30550	61.24581	1205	532.75	0.257258	-0.2683162	0.9283452	0	0.126	6.336762	0	0	0	1	0	0	0	0	-75.01942	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	-74.45059	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0					
30551	61.24762	1205	532.75	0.2572559	-0.268326	0.928343	0	0.126	6.343984	0	0	0	1	0	0	0	0	-74.99123	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	-74.42721	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0					
30552	61.2494	1205	532.75	0.2572531	-0.2683344	0.9283413	0	0.126	6.351119	0	0	0	1	0	0	0	0	-74.96573	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	-74.40607	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0					
