frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
1	0	656.75	430.5	-0.197552	-0.02857995	0.9798757	-6.315576E-21	0.1043169	8.533618E-10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
2	0.02	361	572.75	-0.4102361	0.08266106	0.9082255	-6.315576E-21	0.1043169	8.533618E-10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
3	0.094388	444	509.75	-0.7490665	-0.3930313	0.5333159	-6.315576E-21	0.1043169	8.533618E-10	0	-0.2735396	0	0.9618608	0	328.25	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
4	0.1216017	478	494.75	-0.7581376	-0.4224787	0.4967285	-6.315576E-21	0.1043169	8.533618E-10	0	-0.3027858	0	0.9530587	0	324.75	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
5	0.1301457	489	490.75	-0.6974912	-0.4656482	0.5446814	-6.315576E-21	0.1043169	8.533618E-10	0	-0.2630312	0	0.9647873	0	329.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6	0.1349794	497	487.75	-0.6840729	-0.472224	0.5559217	-6.315576E-21	0.1043169	8.533618E-10	0	-0.2562894	0	0.9666001	0	330.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7	0.1462311	520.0001	482.75	-0.6651071	-0.481272	0.5709728	-6.315576E-21	0.1043169	8.533618E-10	0	-0.2520694	0	0.9677092	0	330.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8	0.1553641	544	475.75	-0.636465	-0.4931315	0.5930714	-6.315576E-21	0.1043169	8.533618E-10	0	-0.2414985	0	0.9704012	0	332.05	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
9	0.1639475	565.0001	473.75	-0.6094555	-0.5011082	0.6143734	-6.315576E-21	0.1043169	8.533618E-10	0	-0.2308989	0	0.9729778	0	333.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
10	0.1693138	582	471.75	-0.5832705	-0.5071412	0.6345105	-6.315576E-21	0.1043169	8.533618E-10	0	-0.2194205	0	0.9756303	0	334.65	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
11	0.1766879	600.0001	468.75	-0.5620995	-0.512494	0.6491487	-6.315576E-21	0.1043169	8.533618E-10	0	-0.2126041	0	0.9771385	0	335.45	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
12	0.2070603	660	464.75	-0.5093096	-0.5222667	0.6839891	-6.315576E-21	0.1043169	8.533618E-10	0	-0.2036418	0	0.9790455	0	336.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
13	0.2121769	666.0001	464.75	-0.4601321	-0.5268621	0.7146291	-6.315576E-21	0.1043169	8.533618E-10	0	-0.1727887	0	0.9849589	0	340.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
14	0.2204981	670	463.75	-0.4521274	-0.5278481	0.7189974	-6.315576E-21	0.1043169	8.533618E-10	0	-0.1693495	0	0.9855561	0	340.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
15	0.2230283	670	463.75	-0.4488207	-0.5285007	0.7205879	-6.315576E-21	0.1043169	8.533618E-10	0	-0.167199	0	0.9859232	0	340.75	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	0.2337537	671.0001	462.75	-0.4479568	-0.5292606	0.7205678	-6.315576E-21	0.1043169	8.533618E-10	0	-0.167199	0	0.9859232	0	340.75	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
17	0.2425408	671.0001	462.75	-0.4479392	-0.5291694	0.7206457	-6.315576E-21	0.1043169	8.533618E-10	0	-0.167199	0	0.9859232	0	340.75	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
18	0.2529044	671.0001	462.75	-0.4479245	-0.5290947	0.7207097	-6.315576E-21	0.1043169	8.533618E-10	0	-0.167199	0	0.9859232	0	340.75	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
19	0.270237	671.0001	462.75	-0.4479073	-0.5290061	0.7207854	-6.315576E-21	0.1043169	8.533618E-10	0	-0.167199	0	0.9859232	0	340.75	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
20	0.2778441	671.0001	462.75	-0.4478775	-0.5288551	0.7209147	-6.315576E-21	0.1043169	8.533618E-10	0	-0.167199	0	0.9859232	0	340.75	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
21	0.3185928	668	466.75	-0.4505837	-0.5257479	0.7215008	-6.315576E-21	0.1043169	8.533618E-10	0	-0.167199	0	0.9859232	0	340.75	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
