frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
1	0	998.75	840.4999	0.08196884	0.297658	0.9511471	-6.315576E-21	0.1043169	8.533618E-10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
2	0.02	946.0001	655.75	0.04188553	0.1576054	0.9866135	-6.315576E-21	0.1043169	8.533618E-10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
3	0.0633351	942.0001	600.75	0.137134	0.001808103	0.9905508	-6.315576E-21	0.1043169	8.533618E-10	0	0.04928558	0	0.9987847	0	5.65	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
4	0.0764066	939	585.75	0.07280383	-0.2617572	0.9623839	-6.315576E-21	0.1043169	8.533618E-10	0	0.01876119	0	0.999824	0	2.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
5	0.0794438	939	580.75	0.0699558	-0.2999272	0.9513936	-6.315576E-21	0.1043169	8.533618E-10	0	0.01745241	0	0.9998477	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6	0.0936673	936.0001	562.75	0.06565829	-0.3199309	0.9451631	-6.315576E-21	0.1043169	8.533618E-10	0	0.01657987	0	0.9998626	0	1.9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7	0.0973447	935	558.75	0.06217394	-0.3418807	0.9376844	-6.315576E-21	0.1043169	8.533618E-10	0	0.01527104	0	0.9998835	0	1.75	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8	0.1006333	935	555.75	0.06048294	-0.3491018	0.9351309	-6.315576E-21	0.1043169	8.533618E-10	0	0.01439847	0	0.9998963	0	1.65	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
9	0.1116635	932.0001	542.75	0.05787898	-0.3624845	0.9301909	-6.315576E-21	0.1043169	8.533618E-10	0	0.01439847	0	0.9998963	0	1.65	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
10	0.1265036	929	524.75	0.05273015	-0.3892809	0.9196085	-6.315576E-21	0.1043169	8.533618E-10	0	0.01308959	0	0.9999143	0	1.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
11	0.1331075	928	516.75	0.04850686	-0.4136627	0.9091371	-6.315576E-21	0.1043169	8.533618E-10	0	0.0113444	0	0.9999357	0	1.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
12	0.1607168	922.0001	482.75	0.04162384	-0.4472764	0.8934267	-6.315576E-21	0.1043169	8.533618E-10	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
13	0.165808	920	474.75	0.03351396	-0.4876931	0.8723716	-6.315576E-21	0.1043169	8.533618E-10	0	0.006981261	0	0.9999757	0	0.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
14	0.1699355	919	470.75	0.03110533	-0.497417	0.8669537	-6.315576E-21	0.1043169	8.533618E-10	0	0.006108615	0	0.9999814	0	0.7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
15	0.1878237	916.0001	457.75	0.02776258	-0.5106197	0.8593584	-6.315576E-21	0.1043169	8.533618E-10	0	0.00567229	0	0.999984	0	0.65	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	0.1948265	915	453.75	0.02316603	-0.5282584	0.8487675	-6.315576E-21	0.1043169	8.533618E-10	0	0.003490651	0	0.999994	0	0.3999999	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
17	0.2068923	914	448.75	0.02158595	-0.5354624	0.8442832	-6.315576E-21	0.1043169	8.533618E-10	0	0.003054321	0	0.9999954	0	0.3499999	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
18	0.2162092	914	445.75	0.02087297	-0.5426278	0.8397139	-6.315576E-21	0.1043169	8.533618E-10	0	0.00261799	0	0.9999966	0	0.2999999	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
19	0.2295019	913	442.75	0.01932185	-0.5475968	0.8365193	-6.315576E-21	0.1043169	8.533618E-10	0	0.002181659	0	0.9999976	0	0.2499999	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
