frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
1	0	951.75	432.5	0.04751678	-0.02734123	0.9984962	-6.315576E-21	0.1043169	8.533618E-10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
2	0.02	952.0001	432.75	0.04772638	-0.02713078	0.9984919	-6.315576E-21	0.1043169	8.533618E-10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
3	0.0635951	952.0001	432.75	0.06552231	-0.5285264	0.8463844	0.001592249	0.1043178	0.07601318	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
4	0.0705894	952.0001	432.75	0.0656571	-0.5281999	0.8465778	0.0002786003	0.1043178	0.01330024	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
5	0.0724967	952.0001	432.75	0.06568056	-0.5281441	0.8466108	7.757022E-05	0.1043178	0.003703164	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6	0.0741224	952.0001	432.75	0.06568598	-0.5281302	0.846619	6.724103E-05	0.1043178	0.003210053	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7	0.0861459	952.0001	432.75	0.06569149	-0.5281172	0.8466267	0.0005584949	0.1043178	0.02666227	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8	0.0977851	952.0001	432.75	0.06573156	-0.5280217	0.8466831	0.000591101	0.104318	0.02821887	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
9	0.1118247	952.0001	432.75	0.06577126	-0.5279285	0.8467382	0.0007779853	0.104318	0.03714063	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
10	0.1238927	952.0001	432.75	0.06582028	-0.5278143	0.8468056	0.0007099273	0.1043178	0.03389158	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
11	0.1358451	952.0001	432.75	0.06586289	-0.5277148	0.8468643	0.0007386712	0.104318	0.0352638	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
12	0.1470714	952.0001	432.75	0.06590652	-0.5276144	0.8469234	0.0007215399	0.1043178	0.03444596	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
13	0.1585222	952.0001	432.75	0.06594715	-0.5275201	0.846979	0.0007616285	0.1043178	0.03635977	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
14	0.1705799	952.0001	432.75	0.06599001	-0.5274222	0.8470367	0.0008269945	0.104318	0.03948031	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
15	0.1821388	952.0001	432.75	0.06603605	-0.5273175	0.8470983	0.0008131175	0.104318	0.03881783	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	0.1939733	952.0001	432.75	0.06607963	-0.5272161	0.8471579	0.0008513409	0.1043178	0.04064259	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
17	0.2056478	952.0001	432.75	0.06612635	-0.5271117	0.8472193	0.0008559674	0.1043178	0.04086346	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
18	0.2169599	952.0001	432.75	0.06617282	-0.5270073	0.8472806	0.000842663	0.1043178	0.04022831	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
19	0.2271358	952.0001	432.75	0.06621782	-0.5269055	0.8473404	0.0007676148	0.104318	0.03664555	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
20	0.2373781	952.0001	432.75	0.06625889	-0.5268133	0.8473945	0.0007814181	0.1043178	0.03730451	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
21	0.2476818	952.0001	432.75	0.06630208	-0.526719	0.8474498	0.0007940866	0.104318	0.0379093	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
22	0.2580032	952.0001	432.75	0.06634484	-0.5266238	0.8475056	0.0008025838	0.1043178	0.03831495	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
23	0.2683368	952.0001	432.75	0.06638806	-0.5265283	0.8475615	0.0008100249	0.1043178	0.03867019	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
24	0.2787995	952.0001	432.75	0.06643172	-0.526431	0.8476186	0.0008260607	0.1043178	0.03943573	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
25	0.2904845	952.0001	432.75	0.06647607	-0.5263319	0.8476766	0.000929172	0.1043178	0.04435821	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
26	0.3005768	952.0001	432.75	0.06652726	-0.526221	0.8477414	0.0008067503	0.1043178	0.03851386	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
27	0.312876	952.0001	432.75	0.06657142	-0.5261245	0.8477978	0.0009890879	0.104318	0.04721856	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
28	0.321457	952.0001	432.75	0.06662523	-0.5260061	0.8478671	0.0006925904	0.104318	0.03306392	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
29	0.331737	952.0001	432.75	0.06666332	-0.5259236	0.8479153	0.0008329495	0.1043178	0.03976459	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
30	0.3424583	952.0001	432.75	0.06670939	-0.5258231	0.847974	0.0008718497	0.1043178	0.04162167	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
31	0.3522246	952.0001	432.75	0.06675725	-0.5257184	0.8480351	0.0007964396	0.1043178	0.03802163	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
32	0.3624996	952.0001	432.75	0.06680182	-0.525622	0.8480914	0.0008402909	0.1043178	0.04011507	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
33	0.3729646	952.0001	432.75	0.06684892	-0.5255205	0.8481506	0.0008766496	0.104318	0.04185082	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
34	0.3834679	952.0001	432.75	0.06689722	-0.5254166	0.8482111	0.000879858	0.1043178	0.04200398	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
35	0.393817	952.0001	432.75	0.06694559	-0.5253111	0.8482727	0.0008669408	0.104318	0.04138732	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
36	0.4042322	952.0001	432.75	0.06699365	-0.5252082	0.8483326	0.0008724779	0.104318	0.04165166	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
37	0.4097168	952.0001	432.75	0.06704383	-0.5251026	0.848394	0.0004594431	0.1043178	0.02193359	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
38	0.4118272	952.0001	432.75	0.06706879	-0.5250477	0.848426	0.0001767875	0.1043178	0.008439749	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
39	0.4137437	952.0001	432.75	0.06707899	-0.5250258	0.8484387	0.0001605446	0.104318	0.007664319	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
40	0.4162929	952.0001	432.75	0.06708807	-0.5250059	0.8484503	0.0002135457	0.104318	0.01019456	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
41	0.4187772	952.0001	432.75	0.0670997	-0.5249813	0.8484647	0.000208109	0.104318	0.00993502	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
42	0.42623	952.0001	432.75	0.06711266	-0.5249551	0.8484799	0.0006243186	0.1043178	0.02980466	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
43	0.4305827	952.0001	432.75	0.06714723	-0.5248802	0.8485234	0.0003646243	0.104318	0.01740698	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
44	0.4333102	952.0001	432.75	0.06716784	-0.5248358	0.8485492	0.0002284818	0.104318	0.01090761	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
45	0.43599	952.0001	432.75	0.06718141	-0.5248084	0.848565	0.000224486	0.1043178	0.01071685	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
46	0.4387469	952.0001	432.75	0.06719409	-0.5247809	0.8485812	0.0002309446	0.1043178	0.01102518	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
47	0.4417465	952.0001	432.75	0.06720681	-0.5247526	0.8485976	0.0002512755	0.1043178	0.01199577	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
48	0.4446849	952.0001	432.75	0.06722161	-0.5247222	0.8486152	0.0002461488	0.104318	0.01175102	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
49	0.4481105	952.0001	432.75	0.06723553	-0.5246925	0.8486325	0.0002869614	0.104318	0.01369939	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
50	0.4514939	952.0001	432.75	0.06725246	-0.5246574	0.8486529	0.0002834263	0.1043178	0.01353063	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
51	0.4540909	952.0001	432.75	0.06726886	-0.5246223	0.8486732	0.0002175498	0.1043178	0.01038572	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
52	0.4565277	952.0001	432.75	0.06728134	-0.5245958	0.8486887	0.0002041299	0.104318	0.009745061	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
53	0.4588751	952.0001	432.75	0.06729297	-0.52457	0.8487036	0.0001966409	0.104318	0.009387541	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
54	0.4612401	952.0001	432.75	0.06730396	-0.5245471	0.848717	0.0001981153	0.104318	0.009457925	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
55	0.4637261	952.0001	432.75	0.06731629	-0.5245214	0.8487319	0.0002082514	0.104318	0.009941819	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
56	0.4660966	952.0001	432.75	0.06732792	-0.5244971	0.8487459	0.000198576	0.1043178	0.00947992	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
57	0.4683316	952.0001	432.75	0.06733958	-0.524472	0.8487605	0.0001872252	0.104318	0.008938039	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
58	0.4705583	952.0001	432.75	0.0673501	-0.5244495	0.8487737	0.0001865299	0.104318	0.008904846	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
59	0.4727115	952.0001	432.75	0.06736086	-0.5244269	0.8487868	0.0001803729	0.104318	0.008610912	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
60	0.4748994	952.0001	432.75	0.0673714	-0.5244035	0.8488004	0.0001832797	0.1043178	0.008749681	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
61	0.4771526	952.0001	432.75	0.0673819	-0.5243817	0.8488129	0.0001887498	0.1043178	0.009010823	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
62	0.4796292	952.0001	432.75	0.06739306	-0.5243582	0.8488266	0.000207464	0.104318	0.009904227	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
63	0.4820638	952.0001	432.75	0.06740601	-0.5243328	0.8488412	0.0002039456	0.104318	0.009736263	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
64	0.4846791	952.0001	432.75	0.06741775	-0.5243081	0.8488556	0.0002190828	0.104318	0.01045891	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
65	0.4874524	952.0001	432.75	0.0674298	-0.5242811	0.8488713	0.0002323184	0.104318	0.01109077	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
66	0.4900949	952.0001	432.75	0.0674434	-0.524252	0.8488882	0.0002213614	0.1043178	0.01056768	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
67	0.4926703	952.0001	432.75	0.0674567	-0.5242248	0.848904	0.0002157404	0.104318	0.01029934	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
68	0.4955715	952.0001	432.75	0.06746939	-0.5241984	0.8489193	0.0002430326	0.1043178	0.01160225	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
69	0.4980143	952.0001	432.75	0.06748334	-0.5241684	0.8489366	0.0002046326	0.104318	0.009769057	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
70	0.5003369	952.0001	432.75	0.06749614	-0.5241423	0.8489518	0.0001945634	0.104318	0.009288362	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
71	0.5032359	952.0001	432.75	0.06750701	-0.5241194	0.848965	0.0002428483	0.104318	0.01159346	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
72	0.5062845	952.0001	432.75	0.0675213	-0.5240882	0.8489832	0.0002553802	0.1043178	0.01219172	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
73	0.5093193	952.0001	432.75	0.06753652	-0.5240573	0.849001	0.0002542242	0.1043178	0.01213654	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
74	0.5118248	952.0001	432.75	0.06755111	-0.5240253	0.8490196	0.0002098849	0.1043178	0.0100198	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
75	0.5145888	952.0001	432.75	0.06756359	-0.5240006	0.8490339	0.0002315394	0.104318	0.01105358	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
76	0.5166806	952.0001	432.75	0.06757762	-0.5239722	0.8490503	0.0001752294	0.1043178	0.008365365	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
77	0.5190374	952.0001	432.75	0.0675877	-0.5239497	0.8490633	0.0001974284	0.1043178	0.009425133	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
78	0.5211216	952.0001	432.75	0.06759934	-0.523925	0.8490777	0.0001745928	0.104318	0.008334972	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
79	0.5239325	952.0001	432.75	0.06761002	-0.523903	0.8490905	0.0002354682	0.1043178	0.01124113	0	0.01047178	0	0.9999452	0	1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
