frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
3902	13.67779	951.0001	931.75	0.05179452	0.4132054	0.9091638	0.4528712	0.1281816	2.187956	0	-0.001745844	0	0.9999985	0	359.7999	0	0	-64.6345	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
3903	13.68332	951.0001	931.75	0.05180385	0.4133044	0.9091182	0.4528712	0.1281816	2.187956	0	-0.001745844	0	0.9999985	0	359.7999	0	0	-64.62282	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
3904	13.68607	951.0001	931.75	0.05180497	0.4133134	0.9091139	0.4528712	0.1281816	2.187956	0	-0.001745844	0	0.9999985	0	359.7999	0	0	-63.80621	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
3905	13.68786	951.0001	931.75	0.05180688	0.413318	0.9091117	0.4528712	0.1281816	2.187956	0	-0.001745844	0	0.9999985	0	359.7999	0	0	-63.72948	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
3906	13.70674	951.0001	931.75	0.05180758	0.4133207	0.9091105	0.4528712	0.1281816	2.187956	0	-0.001745844	0	0.9999985	0	359.7999	0	0	-63.69127	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
3907	13.71542	951.0001	931.75	0.0518159	0.4133513	0.9090962	0.4528712	0.1281816	2.187956	0	-0.001745844	0	0.9999985	0	359.7999	0	0	-63.66636	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
3908	13.72148	951.0001	931.75	0.05182029	0.4133652	0.9090896	0.4528712	0.1281816	2.187956	0	-0.001745844	0	0.9999985	0	359.7999	0	0	-63.40416	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
3909	13.72426	951.0001	931.75	0.05182417	0.4133749	0.909085	0.4528712	0.1281816	2.187956	0	-0.001745844	0	0.9999985	0	359.7999	0	0	-63.28358	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
3910	13.72622	951.0001	931.75	0.05182632	0.4133789	0.909083	0.4528712	0.1281816	2.187956	0	-0.001745844	0	0.9999985	0	359.7999	0	0	-63.19941	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
3911	13.72892	952.0001	931.75	0.05260098	0.4133642	0.9090452	0.4528712	0.1281816	2.187956	0	-0.001745844	0	0.9999985	0	359.7999	0	0	-63.1608	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0					
