frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
1	0	951.75	632.5	0.04679221	0.1388232	0.9892111	-6.315576E-21	0.1043169	8.533618E-10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
2	0.02	905	437.75	0.008206366	-0.02296534	0.9997026	-6.315576E-21	0.1043169	8.533618E-10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
3	0.0910772	915	419.75	-0.08344124	-0.394284	0.9151928	-6.315576E-21	0.1043169	8.533618E-10	0	-0.0545145	0	0.998513	0	353.75	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
4	0.107984	917.0001	414.75	0.01090962	-0.5993323	0.8004261	-6.315576E-21	0.1043169	8.533618E-10	0	-0.004799636	0	0.9999885	0	359.45	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
5	0.1124489	918	413.75	0.01742019	-0.6116673	0.7909233	-6.315576E-21	0.1043169	8.533618E-10	0	-0.001308996	0	0.9999992	0	359.85	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6	0.1163433	918	412.75	0.0188173	-0.6143667	0.7887962	-6.315576E-21	0.1043169	8.533618E-10	0	-0.0004363313	0	0.9999999	0	359.95	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7	0.1386346	921.0001	402.75	0.02135909	-0.6209223	0.7835811	-6.315576E-21	0.1043169	8.533618E-10	0	-0.0004363313	0	0.9999999	0	359.95	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8	0.1422651	922.0001	402.75	0.02499794	-0.6282322	0.7776241	-6.315576E-21	0.1043169	8.533618E-10	0	0.001308998	0	0.9999992	0	0.1500001	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
9	0.15462	924	397.75	0.02735512	-0.6334729	0.7732812	-6.315576E-21	0.1043169	8.533618E-10	0	0.00174533	0	0.9999985	0	0.2000001	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
10	0.1569944	924	397.75	0.02940419	-0.6374182	0.7699568	-6.315576E-21	0.1043169	8.533618E-10	0	0.003054323	0	0.9999954	0	0.3500001	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
