frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
1	0	892.75	494.5	-0.002129682	0.0247877	0.9996905	-6.315576E-21	0.1043169	8.533618E-10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
2	0.02	845	399.75	-0.04230794	-0.05493172	0.9975933	-6.315576E-21	0.1043169	8.533618E-10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
3	0.0705884	873	378.75	-0.04137589	-0.5423998	0.839101	-6.315576E-21	0.1043169	8.533618E-10	0	-0.01352589	0	0.9999086	0	358.45	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
4	0.0847793	880	373.75	-0.05770624	-0.6489785	0.7586151	-6.315576E-21	0.1043169	8.533618E-10	0	-0.02966624	0	0.9995599	0	356.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
5	0.0888886	881.0001	372.75	-0.04251425	-0.6600765	0.7499943	-6.315576E-21	0.1043169	8.533618E-10	0	-0.02050618	0	0.9997897	0	357.65	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6	0.0924465	883	371.75	-0.03881274	-0.6613439	0.749078	-6.315576E-21	0.1043169	8.533618E-10	0	-0.01919744	0	0.9998157	0	357.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7	0.0949905	883	370.75	-0.03743127	-0.6632563	0.7474557	-6.315576E-21	0.1043169	8.533618E-10	0	-0.01832493	0	0.9998321	0	357.9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8	0.1051323	887.0001	368.75	-0.03401754	-0.664511	0.7465038	-6.315576E-21	0.1043169	8.533618E-10	0	-0.01832493	0	0.9998321	0	357.9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
9	0.1157282	888	368.75	-0.03051989	-0.6650939	0.7461358	-6.315576E-21	0.1043169	8.533618E-10	0	-0.01657986	0	0.9998626	0	358.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
10	0.1300083	890	367.75	-0.0267977	-0.6669518	0.7446189	-6.315576E-21	0.1043169	8.533618E-10	0	-0.01527103	0	0.9998834	0	358.25	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
