frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
1	0	984.75	611.5	0.07422254	0.1215031	0.9898121	-6.315576E-21	0.1043169	8.533618E-10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
2	0.02	1026	511.75	0.1090726	0.03896639	0.9932697	-6.315576E-21	0.1043169	8.533618E-10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
3	0.064876	1026	511.75	0.2244673	-0.4411046	0.8689311	-6.315576E-21	0.1043169	8.533618E-10	0	0.06540313	0	0.9978589	0	7.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
4	0.0707787	1026	511.75	0.224622	-0.4407471	0.8690724	-6.315576E-21	0.1043169	8.533618E-10	0	0.06540313	0	0.9978589	0	7.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
5	0.0730296	1026	511.75	0.2246435	-0.4406976	0.869092	-6.315576E-21	0.1043169	8.533618E-10	0	0.06540313	0	0.9978589	0	7.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6	0.0750385	1026	511.75	0.2246515	-0.4406791	0.8690993	-6.315576E-21	0.1043169	8.533618E-10	0	0.06540313	0	0.9978589	0	7.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7	0.0860566	1026	511.75	0.2246587	-0.4406626	0.8691058	-6.315576E-21	0.1043169	8.533618E-10	0	0.06540313	0	0.9978589	0	7.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8	0.0983908	1026	511.75	0.2246991	-0.4405704	0.8691422	-6.315576E-21	0.1043169	8.533618E-10	0	0.06540313	0	0.9978589	0	7.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
9	0.1117216	1026	511.75	0.2247452	-0.4404646	0.8691838	-6.315576E-21	0.1043169	8.533618E-10	0	0.06540313	0	0.9978589	0	7.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
10	0.1233664	1026	511.75	0.224797	-0.4403501	0.8692284	-6.315576E-21	0.1043169	8.533618E-10	0	0.06540313	0	0.9978589	0	7.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
11	0.1382018	1026	511.75	0.2248419	-0.440249	0.8692681	-6.315576E-21	0.1043169	8.533618E-10	0	0.06540313	0	0.9978589	0	7.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
12	0.1500636	1026	511.75	0.2249013	-0.4401169	0.8693196	-6.315576E-21	0.1043169	8.533618E-10	0	0.06540313	0	0.9978589	0	7.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
13	0.1618703	1026	511.75	0.2249498	-0.4400101	0.869361	-6.315576E-21	0.1043169	8.533618E-10	0	0.06540313	0	0.9978589	0	7.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
14	0.1741433	1026	511.75	0.2249977	-0.4399025	0.8694031	-6.315576E-21	0.1043169	8.533618E-10	0	0.06540313	0	0.9978589	0	7.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
15	0.1866393	1026	511.75	0.2250494	-0.4397891	0.8694471	-6.315576E-21	0.1043169	8.533618E-10	0	0.06540313	0	0.9978589	0	7.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	0.1979321	1026	511.75	0.2251035	-0.4396718	0.8694925	-6.315576E-21	0.1043169	8.533618E-10	0	0.06540313	0	0.9978589	0	7.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
17	0.2101432	1026	511.75	0.2251514	-0.4395663	0.8695333	-6.315576E-21	0.1043169	8.533618E-10	0	0.06540313	0	0.9978589	0	7.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
18	0.2222844	1026	511.75	0.2252049	-0.4394501	0.8695782	-6.315576E-21	0.1043169	8.533618E-10	0	0.06540313	0	0.9978589	0	7.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
19	0.2347508	1026	511.75	0.2252586	-0.4393341	0.8696229	-6.315576E-21	0.1043169	8.533618E-10	0	0.06540313	0	0.9978589	0	7.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
20	0.2446818	1026	511.75	0.2253146	-0.4392125	0.8696699	-6.315576E-21	0.1043169	8.533618E-10	0	0.06540313	0	0.9978589	0	7.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
21	0.2633626	1026	511.75	0.22536	-0.4391152	0.8697072	-6.315576E-21	0.1043169	8.533618E-10	0	0.06540313	0	0.9978589	0	7.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
22	0.2831145	1026	511.75	0.2254461	-0.4389303	0.8697783	-6.315576E-21	0.1043169	8.533618E-10	0	0.06540313	0	0.9978589	0	7.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
23	0.2894895	1026	511.75	0.2255388	-0.438732	0.8698543	-6.315576E-21	0.1043169	8.533618E-10	0	0.06540313	0	0.9978589	0	7.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
24	0.2999831	1026	511.75	0.2255691	-0.4386683	0.8698786	-6.315576E-21	0.1043169	8.533618E-10	0	0.06540313	0	0.9978589	0	7.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
