frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
1	0	769.75	176.4999	-0.1028992	-0.236597	0.9661438	-6.315576E-21	0.1043169	8.533618E-10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
2	0.02	769	176.7499	-0.1035134	-0.2363891	0.9661289	-6.315576E-21	0.1043169	8.533618E-10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
3	0.0677131	769	176.7499	-0.195659	-0.8760734	0.4406959	-6.315576E-21	0.1043169	8.533618E-10	0	-0.1006222	0	0.9949247	0	348.45	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
4	0.1241986	769	176.7499	-0.1955996	-0.8758863	0.4410941	-6.315576E-21	0.1043169	8.533618E-10	0	-0.1006222	0	0.9949247	0	348.45	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
5	0.1364663	769	176.7499	-0.1955187	-0.8756494	0.4415999	-6.315576E-21	0.1043169	8.533618E-10	0	-0.1006222	0	0.9949247	0	348.45	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6	0.1390122	769	176.7499	-0.1955	-0.875596	0.4417143	-6.315576E-21	0.1043169	8.533618E-10	0	-0.1006222	0	0.9949247	0	348.45	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7	0.1453046	769	176.7499	-0.1954965	-0.8755851	0.4417374	-6.315576E-21	0.1043169	8.533618E-10	0	-0.1006222	0	0.9949247	0	348.45	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8	0.148436	769	176.7499	-0.1954866	-0.8755571	0.441797	-6.315576E-21	0.1043169	8.533618E-10	0	-0.1006222	0	0.9949247	0	348.45	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
9	0.1573652	769	176.7499	-0.195481	-0.8755436	0.4418264	-6.315576E-21	0.1043169	8.533618E-10	0	-0.1006222	0	0.9949247	0	348.45	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
10	0.1699117	769	176.7499	-0.1954671	-0.8755034	0.4419121	-6.315576E-21	0.1043169	8.533618E-10	0	-0.1006222	0	0.9949247	0	348.45	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
