frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
1	0	328.75	194.5	-0.426057	-0.2033687	0.8815421	-6.315576E-21	0.1043169	8.533618E-10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
2	0.02	574	352.75	-0.2616264	-0.09138975	0.9608327	-6.315576E-21	0.1043169	8.533618E-10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
3	0.0660713	574	352.75	-0.4354783	-0.5971892	0.6735902	-6.315576E-21	0.1043169	8.533618E-10	0	-0.12057	0	0.9927048	0	346.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
4	0.0723598	574	352.75	-0.4354147	-0.5969002	0.6738874	-6.315576E-21	0.1043169	8.533618E-10	0	-0.12057	0	0.9927048	0	346.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
5	0.074471	574	352.75	-0.4354056	-0.5968596	0.6739292	-6.315576E-21	0.1043169	8.533618E-10	0	-0.12057	0	0.9927048	0	346.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6	0.0763819	574	352.75	-0.4354023	-0.5968459	0.6739435	-6.315576E-21	0.1043169	8.533618E-10	0	-0.12057	0	0.9927048	0	346.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7	0.0870133	574	352.75	-0.4353994	-0.5968332	0.6739566	-6.315576E-21	0.1043169	8.533618E-10	0	-0.12057	0	0.9927048	0	346.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8	0.0989432	574	352.75	-0.4353827	-0.5967633	0.6740294	-6.315576E-21	0.1043169	8.533618E-10	0	-0.12057	0	0.9927048	0	346.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
9	0.1107262	574	352.75	-0.4353646	-0.5966843	0.6741109	-6.315576E-21	0.1043169	8.533618E-10	0	-0.12057	0	0.9927048	0	346.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
10	0.1225414	574	352.75	-0.4353454	-0.5966039	0.6741944	-6.315576E-21	0.1043169	8.533618E-10	0	-0.12057	0	0.9927048	0	346.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
11	0.1614002	574	352.75	-0.4353259	-0.5965236	0.674278	-6.315576E-21	0.1043169	8.533618E-10	0	-0.12057	0	0.9927048	0	346.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
12	0.1690444	574	352.75	-0.4352591	-0.5962501	0.674563	-6.315576E-21	0.1043169	8.533618E-10	0	-0.12057	0	0.9927048	0	346.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
13	0.1753102	574	352.75	-0.4352454	-0.5961947	0.6746209	-6.315576E-21	0.1043169	8.533618E-10	0	-0.12057	0	0.9927048	0	346.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
14	0.1809019	574	352.75	-0.4352339	-0.5961499	0.6746678	-6.315576E-21	0.1043169	8.533618E-10	0	-0.12057	0	0.9927048	0	346.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
15	0.1880173	574	352.75	-0.4352233	-0.5961097	0.6747103	-6.315576E-21	0.1043169	8.533618E-10	0	-0.12057	0	0.9927048	0	346.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	0.1975827	574	352.75	-0.4352106	-0.5960572	0.6747648	-6.315576E-21	0.1043169	8.533618E-10	0	-0.12057	0	0.9927048	0	346.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
17	0.2090002	574	352.75	-0.4351925	-0.595987	0.6748384	-6.315576E-21	0.1043169	8.533618E-10	0	-0.12057	0	0.9927048	0	346.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
18	0.2201765	574	352.75	-0.4351707	-0.5959018	0.6749277	-6.315576E-21	0.1043169	8.533618E-10	0	-0.12057	0	0.9927048	0	346.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
19	0.2319686	574	352.75	-0.4351492	-0.5958187	0.6750149	-6.315576E-21	0.1043169	8.533618E-10	0	-0.12057	0	0.9927048	0	346.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
20	0.2427763	574	352.75	-0.4351257	-0.5957291	0.6751091	-6.315576E-21	0.1043169	8.533618E-10	0	-0.12057	0	0.9927048	0	346.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
21	0.2553467	574	352.75	-0.4351044	-0.5956475	0.675195	-6.315576E-21	0.1043169	8.533618E-10	0	-0.12057	0	0.9927048	0	346.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
