frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
25446	57.75066	2244	120.75	-0.7170172	-0.4868335	0.4988783	-4.008445	0.1214995	3.830287	0	-0.837001	0	0.5472013	0	246.3504	0	0	-7.019817	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	7.019817	0.025	5.87	0	-0.7071068	0	0.7071068	0	270	0	0					
25447	57.76155	2244	120.75	-0.717162	-0.4869734	0.4985333	-4.048348	0.1214994	3.812812	0	-0.837001	0	0.5472013	0	246.3504	0	0	-7.019817	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	7.019817	0.025	5.87	0	-0.7071068	0	0.7071068	0	270	0	0					
25448	57.76424	2244	120.75	-0.7171765	-0.4869851	0.4985012	-4.058173	0.1214994	3.80851	0	-0.837001	0	0.5472013	0	246.3504	0	0	-7.019817	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	7.019817	0.025	5.87	0	-0.7071068	0	0.7071068	0	270	0	0					
25449	57.76621	2244	120.75	-0.7171796	-0.4869882	0.4984938	-4.06541	0.1214992	3.805341	0	-0.837001	0	0.5472013	0	246.3504	0	0	-7.019817	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	7.019817	0.025	5.87	0	-0.7071068	0	0.7071068	0	270	0	0					
25450	57.76809	2244	120.75	-0.7171828	-0.4869895	0.4984879	-4.07228	0.1214994	3.802332	0	-0.837001	0	0.5472013	0	246.3504	0	0	-7.019817	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	7.019817	0.025	5.87	0	-0.7071068	0	0.7071068	0	270	0	0					
25451	57.76991	2244	120.75	-0.717185	-0.4869922	0.498482	-4.078964	0.1214992	3.799405	0	-0.837001	0	0.5472013	0	246.3504	0	0	-7.019817	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	7.019817	0.025	5.87	0	-0.7071068	0	0.7071068	0	270	0	0					
25452	57.77174	2244	120.75	-0.7171874	-0.486994	0.4984769	-4.085661	0.1214994	3.796472	0	-0.837001	0	0.5472013	0	246.3504	0	0	-7.019817	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	7.019817	0.025	5.87	0	-0.7071068	0	0.7071068	0	270	0	0					
25453	57.77372	2244	120.75	-0.7171894	-0.486996	0.4984719	-4.092931	0.1214994	3.793289	0	-0.837001	0	0.5472013	0	246.3504	0	0	-7.019817	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	7.019817	0.025	5.87	0	-0.7071068	0	0.7071068	0	270	0	0					
25454	57.77569	2244	120.75	-0.7171928	-0.4869978	0.4984652	-4.100147	0.1214994	3.790128	0	-0.837001	0	0.5472013	0	246.3504	0	0	-7.019817	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	7.019817	0.025	5.87	0	-0.7071068	0	0.7071068	0	270	0	0					
25455	57.77758	2244	120.75	-0.7171953	-0.487	0.4984595	-4.107068	0.1214992	3.787098	0	-0.837001	0	0.5472013	0	246.3504	0	0	-7.019817	0.025	2.97	0	0.7071068	0	0.7071068	0	90	0	0	7.019817	0.025	5.87	0	-0.7071068	0	0.7071068	0	270	0	0					
