frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
1	0	1024.75	587.4999	0.1073553	0.1015238	0.9890236	-4.601672E-20	0.1043171	6.217787E-09	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
2	0.02	1019	545.75	0.103057	0.06721415	0.9924019	-4.601672E-20	0.1043171	6.217787E-09	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
3	0.0647378	1017	537.75	0.2048878	-0.3814736	0.9013872	-4.601672E-20	0.1043171	6.217787E-09	0	0.05669279	0	0.9983917	0	6.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
4	0.0722733	1017	536.75	0.2011528	-0.3970521	0.8954815	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
5	0.0751181	1017	536.75	0.2010259	-0.4001698	0.8941212	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6	0.0871264	1016	535.75	0.2001968	-0.4009388	0.8939627	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7	0.0897494	1016	535.75	0.2002399	-0.4008357	0.8939993	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8	0.1070444	1016	534.75	0.2002199	-0.4015726	0.893673	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
9	0.1241313	1016	534.75	0.2002831	-0.401422	0.8937265	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
10	0.138158	1016	534.75	0.2003484	-0.4012702	0.8937801	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
11	0.1494909	1016	534.75	0.2004029	-0.4011431	0.8938249	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
12	0.1620614	1016	534.75	0.2004474	-0.401039	0.8938616	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
13	0.1644335	1016	534.75	0.2004973	-0.4009226	0.8939027	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
14	0.1761718	1016	534.75	0.2005079	-0.4009003	0.8939102	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
15	0.1888937	1016	534.75	0.200555	-0.4007901	0.8939491	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	0.2088425	1016	534.75	0.2006085	-0.4006689	0.8939914	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
17	0.2221619	1016	534.75	0.2006925	-0.4004763	0.8940589	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
18	0.2247667	1016	534.75	0.2007502	-0.4003465	0.8941041	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
19	0.2333999	1016	534.75	0.2007612	-0.4003207	0.8941131	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
20	0.2441607	1016	534.75	0.2007997	-0.4002344	0.8941432	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
21	0.2552802	1016	534.75	0.2008472	-0.400128	0.8941801	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
22	0.2665765	1016	534.75	0.2008966	-0.4000159	0.8942192	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
23	0.2809671	1016	534.75	0.2009476	-0.3999012	0.894259	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
24	0.2922462	1016	534.75	0.2010132	-0.3997552	0.8943095	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
25	0.303448	1016	534.75	0.2010651	-0.3996387	0.8943499	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
26	0.3154595	1016	534.75	0.2011177	-0.3995226	0.89439	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
27	0.3263705	1016	534.75	0.2011746	-0.3993974	0.8944331	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
28	0.3410117	1016	534.75	0.2012262	-0.3992828	0.8944726	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
29	0.3521932	1016	534.75	0.2012962	-0.3991288	0.8945256	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
30	0.3633167	1016	534.75	0.2013506	-0.399009	0.8945668	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
31	0.3735427	1016	534.75	0.2014044	-0.3988898	0.8946078	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
32	0.3767438	1016	534.75	0.2014549	-0.3987809	0.894645	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
33	0.378779	1016	534.75	0.201471	-0.3987458	0.8946571	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
34	0.3809632	1016	534.75	0.2014808	-0.3987243	0.8946645	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
35	0.383081	1016	534.75	0.2014914	-0.3987009	0.8946725	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
36	0.3847807	1016	534.75	0.2015021	-0.3986776	0.8946804	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
37	0.3864246	1016	534.75	0.2015104	-0.3986588	0.8946869	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
38	0.3880145	1016	534.75	0.2015186	-0.3986422	0.8946925	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
39	0.3895562	1016	534.75	0.2015269	-0.3986236	0.8946989	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
40	0.3912188	1016	534.75	0.2015342	-0.3986072	0.8947046	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
41	0.3928504	1016	534.75	0.2015425	-0.3985895	0.8947106	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
42	0.3945184	1016	534.75	0.2015508	-0.3985709	0.894717	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
43	0.3962212	1016	534.75	0.2015591	-0.3985537	0.8947228	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
44	0.3979494	1016	534.75	0.2015678	-0.3985347	0.8947294	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
45	0.3997141	1016	534.75	0.2015757	-0.3985162	0.8947358	-4.601672E-20	0.1043171	6.217787E-09	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
46	0.4021518	1016	534.75	0.2015844	-0.3984967	0.8947425	2.621494E-05	0.104318	0.0002374581	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
47	0.4057968	1016	534.75	0.2015964	-0.3984706	0.8947515	0.0001222105	0.104318	0.001106975	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
48	0.4094333	1016	535.75	0.2016443	-0.3976688	0.8950973	0.0002726519	0.1043178	0.002469657	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
49	0.4113674	1016	535.75	0.2016625	-0.3976304	0.8951102	0.0003675219	0.104318	0.003328978	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
50	0.4192774	1014	537.75	0.2001079	-0.3961523	0.8961139	0.0009994248	0.104318	0.009052683	0	0.05495018	0	0.9984891	0	6.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
51	0.42636	1014	540.75	0.1987786	-0.3913856	0.8985012	0.001733744	0.104318	0.01581221	0	0.05407881	0	0.9985366	0	6.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
52	0.4309912	1012	540.75	0.1965157	-0.3889759	0.9000441	0.002280004	0.104318	0.02088181	0	0.05364311	0	0.9985602	0	6.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
53	0.4335857	1012	541.75	0.1950312	-0.3873603	0.9010632	0.002601582	0.104318	0.02391595	0	0.05277169	0	0.9986066	0	6.05	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
54	0.4366093	1011	542.75	0.1942577	-0.3865982	0.9015574	0.003003433	0.104318	0.02770748	0	0.05277169	0	0.9986066	0	6.05	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
55	0.4397731	1010	542.75	0.1919206	-0.3857954	0.9024015	0.003445525	0.1043178	0.0319493	0	0.05190022	0	0.9986523	0	5.95	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
56	0.4427027	1010	543.75	0.1919631	-0.3849949	0.9027343	0.003878578	0.104318	0.03610441	0	0.05190022	0	0.9986523	0	5.95	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
