frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
1	0	1338.75	-142.5	0.3177879	-0.4348556	0.8425624	-4.601672E-20	0.1043171	6.217787E-09	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
2	0.02	1339	-142.25	0.3179715	-0.4346831	0.8425821	-4.601672E-20	0.1043171	6.217787E-09	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
3	0.1058169	1339	-142.25	0.3859082	-0.9123982	0.1363973	-4.601672E-20	0.1043171	6.217787E-09	0	0.1697795	0	0.9854821	0	19.55	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
4	0.1264772	1339	-142.25	0.3863342	-0.9121379	0.1369316	-4.601672E-20	0.1043171	6.217787E-09	0	0.1697795	0	0.9854821	0	19.55	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
5	0.1398677	1339	-142.25	0.3864447	-0.9120706	0.1370679	-4.601672E-20	0.1043171	6.217787E-09	0	0.1697795	0	0.9854821	0	19.55	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6	0.1483774	1339	-142.25	0.386518	-0.9120262	0.1371572	-4.601672E-20	0.1043171	6.217787E-09	0	0.1697795	0	0.9854821	0	19.55	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7	0.1516321	1339	-142.25	0.3865652	-0.9119976	0.1372144	-4.601672E-20	0.1043171	6.217787E-09	0	0.1697795	0	0.9854821	0	19.55	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8	0.1625434	1339	-142.25	0.3865832	-0.9119865	0.1372371	-4.601672E-20	0.1043171	6.217787E-09	0	0.1697795	0	0.9854821	0	19.55	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
9	0.1649081	1339	-142.25	0.386645	-0.9119492	0.1373113	-4.601672E-20	0.1043171	6.217787E-09	0	0.1697795	0	0.9854821	0	19.55	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
10	0.1734887	1339	-142.25	0.3866584	-0.9119409	0.1373277	-4.601672E-20	0.1043171	6.217787E-09	0	0.1697795	0	0.9854821	0	19.55	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
11	0.1851841	1339	-142.25	0.3867072	-0.9119114	0.1373868	-4.601672E-20	0.1043171	6.217787E-09	0	0.1697795	0	0.9854821	0	19.55	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
12	0.1967658	1339	-142.25	0.3867749	-0.9118703	0.1374688	-4.601672E-20	0.1043171	6.217787E-09	0	0.1697795	0	0.9854821	0	19.55	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
13	0.2226565	1339	-142.25	0.3868429	-0.9118293	0.1375499	-4.601672E-20	0.1043171	6.217787E-09	0	0.1697795	0	0.9854821	0	19.55	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
14	0.2567128	1339	-142.25	0.3869968	-0.9117361	0.1377336	-4.601672E-20	0.1043171	6.217787E-09	0	0.1697795	0	0.9854821	0	19.55	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
15	0.277806	1339	-142.25	0.3872052	-0.9116103	0.1379808	-4.601672E-20	0.1043171	6.217787E-09	0	0.1697795	0	0.9854821	0	19.55	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	0.2816634	1339	-142.25	0.3873377	-0.9115305	0.1381367	-4.601672E-20	0.1043171	6.217787E-09	0	0.1697795	0	0.9854821	0	19.55	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
17	0.2841035	1339	-142.25	0.387362	-0.9115158	0.1381655	-4.601672E-20	0.1043171	6.217787E-09	0	0.1697795	0	0.9854821	0	19.55	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
