frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
1	0	981.75	908.5	0.0672808	0.3454911	0.936007	-4.601672E-20	0.1043171	6.217787E-09	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
2	0.02	982.0001	908.75	0.06746969	0.3456554	0.9359328	-4.601672E-20	0.1043171	6.217787E-09	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
3	0.0659862	982.0001	908.75	0.1446031	0.3244927	0.9347698	-4.601672E-20	0.1043171	6.217787E-09	0	0.04100374	0	0.999159	0	4.7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
4	0.0728763	982.0001	908.75	0.1447228	0.324874	0.9346188	-4.601672E-20	0.1043171	6.217787E-09	0	0.04100374	0	0.999159	0	4.7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
5	0.0753022	982.0001	908.75	0.144742	0.3249335	0.934595	-4.601672E-20	0.1043171	6.217787E-09	0	0.04100374	0	0.999159	0	4.7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6	0.0775352	982.0001	908.75	0.1447487	0.3249543	0.9345868	-4.601672E-20	0.1043171	6.217787E-09	0	0.04100374	0	0.999159	0	4.7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7	0.0857182	982.0001	908.75	0.144755	0.3249734	0.9345793	-4.601672E-20	0.1043171	6.217787E-09	0	0.04100374	0	0.999159	0	4.7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8	0.0967708	982.0001	908.75	0.1447778	0.3250451	0.9345507	-4.601672E-20	0.1043171	6.217787E-09	0	0.04100374	0	0.999159	0	4.7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
9	0.1103955	982.0001	908.75	0.1448089	0.3251422	0.9345121	-4.601672E-20	0.1043171	6.217787E-09	0	0.04100374	0	0.999159	0	4.7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
10	0.1209096	982.0001	908.75	0.1448491	0.3252637	0.9344636	-4.601672E-20	0.1043171	6.217787E-09	0	0.04100374	0	0.999159	0	4.7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
11	0.1422718	982.0001	908.75	0.14488	0.3253597	0.9344255	-4.601672E-20	0.1043171	6.217787E-09	0	0.04100374	0	0.999159	0	4.7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
12	0.1538809	982.0001	908.75	0.1449455	0.3255565	0.9343468	-4.601672E-20	0.1043171	6.217787E-09	0	0.04100374	0	0.999159	0	4.7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
13	0.1629783	982.0001	908.75	0.1449814	0.3256648	0.9343033	-4.601672E-20	0.1043171	6.217787E-09	0	0.04100374	0	0.999159	0	4.7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
14	0.1657909	982.0001	908.75	0.1450108	0.3257518	0.9342685	-4.601672E-20	0.1043171	6.217787E-09	0	0.04100374	0	0.999159	0	4.7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
15	0.1740345	982.0001	908.75	0.1450194	0.3257786	0.9342578	-4.601672E-20	0.1043171	6.217787E-09	0	0.04100374	0	0.999159	0	4.7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	0.1851512	982.0001	908.75	0.1450458	0.3258568	0.9342265	-4.601672E-20	0.1043171	6.217787E-09	0	0.04100374	0	0.999159	0	4.7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
17	0.1964112	982.0001	908.75	0.1450826	0.3259644	0.9341832	-4.601672E-20	0.1043171	6.217787E-09	0	0.04100374	0	0.999159	0	4.7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
