frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
1	0	877.75	379.5	-0.0147218	-0.07195868	0.997299	-4.601672E-20	0.1043171	6.217787E-09	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
2	0.02	920	367.75	0.02082846	-0.08175649	0.9964346	-4.601672E-20	0.1043171	6.217787E-09	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
3	0.1073566	924	355.75	0.01783867	-0.6799797	0.7330139	-4.601672E-20	0.1043171	6.217787E-09	0	-0.00436331	0	0.9999905	0	359.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
4	0.1281367	927.0001	351.75	0.02322715	-0.6887919	0.724587	-4.601672E-20	0.1043171	6.217787E-09	0	-0.002617991	0	0.9999966	0	359.7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
5	0.1353146	927.0001	350.75	0.02646396	-0.6955454	0.7179947	-4.601672E-20	0.1043171	6.217787E-09	0	-0.0004363323	0	0.9999999	0	359.95	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6	0.1378054	927.0001	350.75	0.02649038	-0.6973719	0.7162197	-4.601672E-20	0.1043171	6.217787E-09	0	-0.0004363323	0	0.9999999	0	359.95	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7	0.1493241	927.0001	348.75	0.02649811	-0.6985533	0.7150672	-4.601672E-20	0.1043171	6.217787E-09	0	-0.0004363323	0	0.9999999	0	359.95	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8	0.1530502	928	347.75	0.02799981	-0.7002991	0.7133002	-4.601672E-20	0.1043171	6.217787E-09	0	2.600743E-11	0	1	0	2.980232E-09	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
9	0.1571262	928	347.75	0.02801356	-0.700273	0.7133253	-4.601672E-20	0.1043171	6.217787E-09	0	2.600743E-11	0	1	0	2.980232E-09	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
10	0.1697131	929	345.75	0.02886431	-0.7014205	0.712163	-4.601672E-20	0.1043171	6.217787E-09	0	2.600743E-11	0	1	0	2.980232E-09	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
11	0.1815703	929	343.75	0.02952646	-0.7037609	0.7098231	-4.601672E-20	0.1043171	6.217787E-09	0	0.0004363324	0	0.9999999	0	0.05000001	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
