frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
1	0	909.75	666.4999	0.01190374	0.1664099	0.9859848	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
2	0.02	954	487.75	0.04933164	0.01907965	0.9986002	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
3	0.0656727	963	462.75	0.04371614	-0.3101709	0.9496751	0	0	0	0	-0.00698126	0	0.9999756	0	359.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
4	0.0755741	965	458.75	0.09538221	-0.5114528	0.8540013	0	0	0	0	0.02137865	0	0.9997715	0	2.45	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
5	0.0793627	965	456.75	0.09886944	-0.5210139	0.8478026	0	0	0	0	0.02355977	0	0.9997225	0	2.7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6	0.0818026	965	455.75	0.09877717	-0.5246685	0.8455566	0	0	0	0	0.02355977	0	0.9997225	0	2.7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7	0.0867608	966.0001	453.75	0.09958017	-0.5260507	0.8446031	0	0	0	0	0.02355977	0	0.9997225	0	2.7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8	0.0992787	967.0001	449.75	0.1010206	-0.5310522	0.8412957	0	0	0	0	0.02399598	0	0.9997121	0	2.75	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
9	0.1107442	968	446.75	0.1024334	-0.5374674	0.8370401	0	0	0	0	0.02443218	0	0.9997015	0	2.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
10	0.1235623	968	445.75	0.1030895	-0.5410131	0.834672	0	0	0	0	0.02486838	0	0.9996907	0	2.85	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
