Trial,Lane,Traffic,Yield,eHMI,First_Car_Creation_Time,First_Car_Decel_Time,First_Car_eHMI_ON_Time,First_Car_Stop_Time,First_Car_eHMI_OFF_Time,First_Car_Accel_Start_Time,First_Car_Destroy_Time,Second_Car_Creation_Time,Second_Car_Decel_Time,Second_Car_eHMI_ON_Time,Second_Car_Stop_Time,Second_Car_eHMI_OFF_Time,Second_Car_Accel_Start_Time,Second_Car_Destroy_Time,Collision_Car,Collision_Time,Pedestrian_Enter_time,Pedestrian_Exit_Time
12,Four Lane,Two Car Different,Yield,eHMI A,0.637841820716858,N/A,N/A,N/A,N/A,N/A,1.73717665672302,0.637841820716858,N/A,N/A,N/A,N/A,N/A,1.73717665672302,N/A,N/A,0.707643806934357,1.2805609703064,
14,Three Lane,Two Car Same,No Yield,N/A,0.25064554810524,N/A,N/A,N/A,N/A,N/A,1.37426626682281,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.739262342453003,1.32331550121307,
7,Two Lane,Two Car Different,No Yield,N/A,0.244743525981903,N/A,N/A,N/A,N/A,N/A,1.02828168869019,0.416703641414642,N/A,N/A,N/A,N/A,N/A,1.02828168869019,N/A,N/A,0.392112255096436,0.978346526622772,
8,Three Lane,Two Car Different,No Yield,N/A,0.250802576541901,N/A,N/A,N/A,N/A,N/A,0.861417889595032,0.250802576541901,N/A,N/A,N/A,N/A,N/A,0.861417889595032,N/A,N/A,0.227491065859795,0.811760663986206,
23,Three Lane,Single Car,Yield,eHMI B,0.249574735760689,N/A,N/A,N/A,N/A,N/A,0.611992061138153,N/A,N/A,N/A,N/A,N/A,N/A,0.611992061138153,N/A,N/A,2.14374136924744,0.562588334083557,
1,Two Lane,Single Car,No Yield,N/A,0.251555591821671,N/A,N/A,N/A,N/A,N/A,0.577809870243073,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.86461400985718,0.528145670890808,
2,Three Lane,Single Car,No Yield,N/A,0.250552803277969,N/A,N/A,N/A,N/A,N/A,0.764794051647186,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.130495205521584,0.714473307132721,
10,Two Lane,Two Car Different,Yield,eHMI A,0.250448554754257,N/A,N/A,N/A,N/A,N/A,0.879696786403656,0.250448554754257,N/A,N/A,N/A,N/A,N/A,0.879696786403656,N/A,N/A,0.24501645565033,0.830054640769958,
19,Two Lane,Single Car,No Yield,N/A,0.235653564333916,N/A,N/A,N/A,N/A,N/A,0.749419212341309,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.115818001329899,0.699788987636566,
18,Four Lane,Two Car Same,Yield,eHMI A,0.249810561537743,N/A,N/A,N/A,N/A,N/A,1.05336976051331,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0242672003805637,0.609563946723938,
