frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
14455	29.23645	878	432.75	-0.006146689	-0.2095241	0.9777842	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	87.9297	0	1	0	-4.371139E-08	0	180	0	0					
14456	29.24521	878	432.75	-0.006523418	-0.2099755	0.9776849	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	87.90482	0	1	0	-4.371139E-08	0	180	0	0					
14457	29.24772	878	432.75	-0.006546269	-0.2100081	0.9776778	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.90413	0	1	0	-4.371139E-08	0	180	0	0					
14458	29.24955	878	432.75	-0.006554442	-0.2100164	0.9776759	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.78245	0	1	0	-4.371139E-08	0	180	0	0					
14459	29.25129	878	432.75	-0.006559093	-0.2100233	0.9776744	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.74759	0	1	0	-4.371139E-08	0	180	0	0					
14460	29.25332	878	432.75	-0.006562877	-0.2100306	0.9776728	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.72216	0	1	0	-4.371139E-08	0	180	0	0					
14461	29.25538	878	432.75	-0.006568053	-0.2100384	0.9776711	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.69798	0	1	0	-4.371139E-08	0	180	0	0					
14462	29.25733	878	432.75	-0.006573779	-0.2100453	0.9776696	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.66979	0	1	0	-4.371139E-08	0	180	0	0					
14463	29.25939	878	432.75	-0.006578965	-0.2100532	0.9776678	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.64113	0	1	0	-4.371139E-08	0	180	0	0					
14464	29.26186	878	432.75	-0.006584718	-0.210061	0.9776661	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.614	0	1	0	-4.371139E-08	0	180	0	0					
14465	29.26391	878	432.75	-0.006592371	-0.2100703	0.9776641	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.58549	0	1	0	-4.371139E-08	0	180	0	0					
14466	29.26574	878	432.75	-0.006597569	-0.2100779	0.9776624	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.5511	0	1	0	-4.371139E-08	0	180	0	0					
14467	29.26763	878	432.75	-0.006602778	-0.2100852	0.9776608	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.52266	0	1	0	-4.371139E-08	0	180	0	0					
14468	29.2695	878	432.75	-0.006606569	-0.2100923	0.9776592	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.49722	0	1	0	-4.371139E-08	0	180	0	0					
14469	29.27137	878	432.75	-0.006611789	-0.2100996	0.9776577	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.47099	0	1	0	-4.371139E-08	0	180	0	0					
14470	29.27324	878	432.75	-0.006616976	-0.2101062	0.9776562	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.44497	0	1	0	-4.371139E-08	0	180	0	0					
14471	29.2753	878	432.75	-0.006622168	-0.210114	0.9776545	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.41907	0	1	0	-4.371139E-08	0	180	0	0					
14472	29.27766	878	432.75	-0.006627367	-0.210122	0.9776527	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.39307	0	1	0	-4.371139E-08	0	180	0	0					
14473	29.27952	878	432.75	-0.006633677	-0.2101307	0.9776508	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.3644	0	1	0	-4.371139E-08	0	180	0	0					
14474	29.2813	878	432.75	-0.006638897	-0.2101384	0.9776492	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.33167	0	1	0	-4.371139E-08	0	180	0	0					
14475	29.2836	878	432.75	-0.006643568	-0.210145	0.9776477	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.30585	0	1	0	-4.371139E-08	0	180	0	0					
14476	29.28553	878	432.75	-0.006649857	-0.2101544	0.9776456	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.28107	0	1	0	-4.371139E-08	0	180	0	0					
14477	29.28742	878	432.75	-0.006655074	-0.2101617	0.977644	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.24918	0	1	0	-4.371139E-08	0	180	0	0					
14478	29.28927	878	432.75	-0.006660289	-0.2101689	0.9776424	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.22235	0	1	0	-4.371139E-08	0	180	0	0					
14479	29.29133	878	432.75	-0.0066655	-0.2101779	0.9776405	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.19617	0	1	0	-4.371139E-08	0	180	0	0					
14480	29.29333	878	432.75	-0.006670712	-0.2101853	0.9776388	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.17039	0	1	0	-4.371139E-08	0	180	0	0					
14481	29.29533	878	432.75	-0.006676498	-0.210194	0.9776369	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.14185	0	1	0	-4.371139E-08	0	180	0	0					
14482	29.29721	878	432.75	-0.00668173	-0.2102018	0.9776352	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.11407	0	1	0	-4.371139E-08	0	180	0	0					
14483	29.29904	878	432.75	-0.006686937	-0.2102091	0.9776335	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.0862	0	1	0	-4.371139E-08	0	180	0	0					
14484	29.301	878	432.75	-0.006692171	-0.210216	0.977632	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.0602	0	1	0	-4.371139E-08	0	180	0	0					
14485	29.3032	878	432.75	-0.00669739	-0.2102239	0.9776303	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.03477	0	1	0	-4.371139E-08	0	180	0	0					
14486	29.30503	878	432.75	-0.00670316	-0.2102323	0.9776285	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	85.00745	0	1	0	-4.371139E-08	0	180	0	0					
14487	29.30694	878	432.75	-0.006708398	-0.2102395	0.9776269	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	84.97701	0	1	0	-4.371139E-08	0	180	0	0					
14488	29.30892	878	432.75	-0.006713631	-0.2102488	0.9776248	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	84.95149	0	1	0	-4.371139E-08	0	180	0	0					
14489	29.3107	878	432.75	-0.006718855	-0.2102564	0.9776232	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	84.92502	0	1	0	-4.371139E-08	0	180	0	0					
14490	29.31252	878	432.75	-0.006724093	-0.2102638	0.9776216	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	84.89754	0	1	0	-4.371139E-08	0	180	0	0					
14491	29.3144	878	432.75	-0.006728771	-0.2102714	0.9776199	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	84.8728	0	1	0	-4.371139E-08	0	180	0	0					
14492	29.3162	878	432.75	-0.006732637	-0.2102796	0.9776181	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	84.84756	0	1	0	-4.371139E-08	0	180	0	0					
14493	29.31803	878	432.75	-0.00673787	-0.2102866	0.9776166	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	84.82138	0	1	0	-4.371139E-08	0	180	0	0					
14494	29.3199	878	432.75	-0.006743107	-0.2102937	0.977615	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	84.79637	0	1	0	-4.371139E-08	0	180	0	0					
14495	29.32193	878	432.75	-0.006748354	-0.2103026	0.977613	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	84.77096	0	1	0	-4.371139E-08	0	180	0	0					
14496	29.3241	878	432.75	-0.006753583	-0.2103106	0.9776113	8.967124E-06	0.1199999	8.257738	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	0.025	84.745	0	1	0	-4.371139E-08	0	180	0	0					
