frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
1767	29.6312	1308	283	0.776882	-0.2201428	0.5899081	-6.315576E-21	0.1043169	8.533618E-10	0	0.1903808	0	0.9817104	0	21.95001	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
1768	29.6348	1308	283	0.7768184	-0.220288	0.5899377	-6.315576E-21	0.1043169	8.533618E-10	0	0.1903808	0	0.9817104	0	21.95001	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
1769	29.6515	1308	283	0.7768106	-0.2203051	0.5899416	-6.315576E-21	0.1043169	8.533618E-10	0	0.1903808	0	0.9817104	0	21.95001	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
1770	29.6682	1308	283	0.7767742	-0.2203873	0.5899587	-6.315576E-21	0.1043169	8.533618E-10	0	0.1903808	0	0.9817104	0	21.95001	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
1771	29.685	1263	407	0.7663801	-0.1289427	0.6293132	-6.315576E-21	0.1043169	8.533618E-10	0	0.1903808	0	0.9817104	0	21.95001	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
1772	29.7015	1215	407	0.7443767	-0.1312991	0.6547242	-6.315576E-21	0.1043169	8.533618E-10	0	0.1903808	0	0.9817104	0	21.95001	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
1773	29.7183	1173	407	0.6941515	-0.1333125	0.7073765	-6.315576E-21	0.1043169	8.533618E-10	0	0.1693496	0	0.9855561	0	19.50001	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
1774	29.7349	1133	407	0.6452874	-0.1351698	0.7518865	-6.315576E-21	0.1043169	8.533618E-10	0	0.1512609	0	0.9884939	0	17.40001	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
1775	29.7516	1096	406	0.5968439	-0.1376498	0.7904619	-6.315576E-21	0.1043169	8.533618E-10	0	0.1344187	0	0.9909247	0	15.45001	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
1776	29.7682	1059	406	0.5462066	-0.1416787	0.825582	-6.315576E-21	0.1043169	8.533618E-10	0	0.1179708	0	0.9930171	0	13.55001	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
1777	29.7851	1025	406	0.4958645	-0.1430945	0.8565292	-6.315576E-21	0.1043169	8.533618E-10	0	0.1019246	0	0.9947922	0	11.70001	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
