frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
7860	53.82599	1219	234.8542	0.4728946	-0.1932738	0.8596603	-0.005789268	0.1324241	0.782688	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7861	53.83129	1219	234.8542	0.4730019	-0.192901	0.8596851	-0.005789268	0.1324241	0.782688	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7862	53.83458	1219	234.8542	0.4730106	-0.1928694	0.8596874	-0.005789268	0.1324241	0.782688	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7863	53.8381	1219	234.8542	0.4730161	-0.1928494	0.8596889	-0.005789268	0.1324241	0.782688	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7864	53.84142	1219	234.8542	0.4730224	-0.1928276	0.8596903	-0.005789268	0.1324241	0.782688	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7865	53.84519	1219	234.8542	0.4730275	-0.1928075	0.859692	-0.005789268	0.1324241	0.782688	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7866	53.84856	1219	234.8542	0.4730339	-0.1927845	0.8596936	-0.005789268	0.1324241	0.782688	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7867	53.85178	1219	234.8542	0.4730398	-0.1927648	0.8596947	-0.005789268	0.1324241	0.782688	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7868	53.85496	1219	234.8542	0.4730451	-0.1927445	0.8596964	-0.005789268	0.1324241	0.782688	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7869	53.85801	1219	234.8542	0.4730498	-0.1927253	0.8596981	-0.005789268	0.1324241	0.782688	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
