frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
1	0	1095	228.5834	0.2306598	-0.1782127	0.9565753	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
2	0.02	811	404.8542	-0.01459891	-0.02749521	0.9995153	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
3	0.0920125	812	405.8542	-0.1911328	-0.4029395	0.8950464	-4.601672E-20	0.1043171	6.217787E-09	0	-0.0975829	0	0.9952274	0	348.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
4	0.1025587	812	405.8542	-0.1953163	-0.3879231	0.9007593	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
5	0.107303	812	405.8542	-0.1952897	-0.3878309	0.9008048	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6	0.1133843	812	405.8542	-0.195277	-0.3877898	0.9008251	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7	0.1183749	812	405.8542	-0.1952612	-0.387736	0.9008518	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8	0.1224159	812	405.8542	-0.1952485	-0.3876926	0.9008732	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
9	0.1264678	812	405.8542	-0.1952378	-0.3876562	0.9008911	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
10	0.1301745	812	405.8542	-0.195227	-0.3876203	0.9009089	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
11	0.1338703	812	405.8542	-0.1952168	-0.3875874	0.9009253	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
12	0.1381754	812	405.8542	-0.1952071	-0.3875533	0.9009421	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
13	0.14176	812	405.8542	-0.1951953	-0.3875152	0.900961	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
14	0.1454972	812	405.8542	-0.1951854	-0.3874817	0.9009776	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
15	0.1488916	812	405.8542	-0.1951759	-0.3874479	0.9009942	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	0.1530994	812	405.8542	-0.1951659	-0.3874177	0.9010093	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
17	0.1568958	812	405.8542	-0.1951546	-0.3873787	0.9010285	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
18	0.1610545	812	405.8542	-0.1951439	-0.3873434	0.901046	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
19	0.1650366	812	405.8542	-0.1951324	-0.3873049	0.9010651	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
20	0.1686623	812	405.8542	-0.1951209	-0.3872681	0.9010834	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
21	0.172152	812	405.8542	-0.1951106	-0.3872341	0.9011002	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
22	0.1759993	812	405.8542	-0.1951011	-0.3872021	0.901116	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
23	0.1794484	812	405.8542	-0.1950896	-0.3871663	0.9011339	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
24	0.1827421	812	405.8542	-0.1950799	-0.3871329	0.9011503	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
25	0.1864377	812	405.8542	-0.1950699	-0.3871019	0.9011658	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
26	0.1904149	812	405.8542	-0.1950597	-0.3870682	0.9011826	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
27	0.194747	812	405.8542	-0.195048	-0.3870291	0.9012018	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
28	0.1984048	812	405.8542	-0.1950345	-0.3869877	0.9012225	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
29	0.2020557	812	405.8542	-0.1950246	-0.3869529	0.9012396	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
30	0.2058382	812	405.8542	-0.1950131	-0.3869186	0.9012568	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
31	0.2099739	812	405.8542	-0.1950017	-0.3868817	0.9012752	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
32	0.2136169	812	405.8542	-0.1949894	-0.3868415	0.9012951	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
33	0.2173652	812	405.8542	-0.1949784	-0.3868073	0.9013122	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
34	0.2214346	812	405.8542	-0.1949669	-0.3867697	0.9013307	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
35	0.226349	812	405.8542	-0.1949545	-0.3867302	0.9013504	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
36	0.2303395	812	405.8542	-0.1949399	-0.3866825	0.901374	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
37	0.233974	812	405.8542	-0.1949272	-0.386643	0.9013937	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
38	0.2376197	812	405.8542	-0.1949161	-0.3866084	0.9014109	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
39	0.2414475	812	405.8542	-0.1949044	-0.3865712	0.9014294	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
40	0.2451742	812	405.8542	-0.1948922	-0.3865333	0.9014483	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
41	0.248772	812	405.8542	-0.1948813	-0.3864965	0.9014664	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
42	0.2524033	812	405.8542	-0.1948697	-0.3864612	0.9014841	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
43	0.2564933	812	405.8542	-0.1948585	-0.386424	0.9015024	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
44	0.2600868	812	405.8542	-0.1948453	-0.3863835	0.9015226	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
45	0.2645146	812	405.8542	-0.1948334	-0.3863473	0.9015408	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
46	0.2678643	812	405.8542	-0.1948195	-0.3863018	0.9015633	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
47	0.2712621	812	405.8542	-0.1948096	-0.3862691	0.9015794	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
48	0.2751179	812	405.8542	-0.1947982	-0.3862347	0.9015965	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
49	0.2789899	812	405.8542	-0.1947855	-0.3861956	0.901616	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
50	0.2823389	812	405.8542	-0.1947731	-0.3861564	0.9016356	-4.601672E-20	0.1043171	6.217787E-09	0	-0.09931976	0	0.9950556	0	348.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
