frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
8315	29.10287	811	404.8542	-0.8175539	-0.1530167	0.55515	-4.639956E-20	0.1051851	6.269516E-09	0	-0.4656146	0	0.8849877	0	304.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8316	29.10738	811	404.8542	-0.817654	-0.1532295	0.5549439	-4.639956E-20	0.1051851	6.269516E-09	0	-0.4656146	0	0.8849877	0	304.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8317	29.11063	811	404.8542	-0.8176595	-0.1532407	0.5549327	-4.639956E-20	0.1051851	6.269516E-09	0	-0.4656146	0	0.8849877	0	304.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8318	29.1138	811	404.8542	-0.8176627	-0.1532497	0.5549255	-4.639956E-20	0.1051851	6.269516E-09	0	-0.4656146	0	0.8849877	0	304.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8319	29.11702	811	404.8542	-0.8176664	-0.1532588	0.5549175	-4.639956E-20	0.1051851	6.269516E-09	0	-0.4656146	0	0.8849877	0	304.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8320	29.12058	811	404.8542	-0.8176695	-0.1532679	0.5549104	-4.639956E-20	0.1051851	6.269516E-09	0	-0.4656146	0	0.8849877	0	304.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8321	29.12423	811	404.8542	-0.8176736	-0.1532772	0.5549018	-4.639956E-20	0.1051851	6.269516E-09	0	-0.4656146	0	0.8849877	0	304.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8322	29.12761	811	404.8542	-0.8176774	-0.1532882	0.5548931	-4.639956E-20	0.1051851	6.269516E-09	0	-0.4656146	0	0.8849877	0	304.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8323	29.13088	811	404.8542	-0.8176816	-0.1532979	0.5548844	-4.639956E-20	0.1051851	6.269516E-09	0	-0.4656146	0	0.8849877	0	304.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8324	29.13417	811	404.8542	-0.8176845	-0.1533072	0.5548773	-4.639956E-20	0.1051851	6.269516E-09	0	-0.4656146	0	0.8849877	0	304.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
