frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
7540	27.69736	810	405.8542	0.1716087	-0.2736708	0.9463904	0.008538217	0.1224515	8.045411	0	0.09193625	0	0.9957649	0	10.55002	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7541	27.70191	810	405.8542	0.1980978	-0.4042327	0.8929464	0.008538217	0.1224515	8.045411	0	0.1114691	0	0.9937679	0	12.80002	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7542	27.70576	810	405.8542	0.2054202	-0.4161348	0.8857959	0.008538217	0.1224515	8.045411	0	0.1162375	0	0.9932215	0	13.35002	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7543	27.70909	810	405.8542	0.205419	-0.416107	0.8858092	0.008538217	0.1224515	8.045411	0	0.1162375	0	0.9932215	0	13.35002	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7544	27.71225	810	405.8542	0.2135328	-0.4263698	0.8789838	0.008538217	0.1224515	8.045411	0	0.1214364	0	0.9925992	0	13.95002	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7545	27.7154	810	405.8542	0.213532	-0.4263466	0.8789953	0.008538217	0.1224515	8.045411	0	0.1214364	0	0.9925992	0	13.95002	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7546	27.71856	810	405.8542	0.223112	-0.4357703	0.8719664	0.008538217	0.1224515	8.045411	0	0.1274975	0	0.9918389	0	14.65002	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7547	27.722	810	405.8542	0.223113	-0.4357475	0.8719774	0.008538217	0.1224515	8.045411	0	0.1274975	0	0.9918389	0	14.65002	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7548	27.72571	810	405.8542	0.2231127	-0.4357221	0.8719902	0.008538217	0.1224515	8.045411	0	0.1274975	0	0.9918389	0	14.65002	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7549	27.729	810	405.8542	0.2318761	-0.444313	0.8653435	0.008538217	0.1224515	8.045411	0	0.1331215	0	0.9910998	0	15.30002	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7550	27.73215	810	405.8542	0.2318771	-0.4442892	0.8653554	0.008538217	0.1224515	8.045411	0	0.1331215	0	0.9910998	0	15.30002	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
